go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.000931      40 annotations READ: go_slim_results_R1_humanbase_0.8.txt 
21 IDs in all associations
func_module_number	
15	GO:0050789
35	GO:0050789
46	GO:0050789
48	GO:0065008;GO:0050789;GO:0007154
88	GO:0045229;GO:0043062
110	GO:0008150
120	GO:0050789
124	GO:0050789
133	GO:0006811
137	GO:0007155;GO:0016043
147	GO:0050896;GO:0032501;GO:0006811
155	GO:0006811
156	GO:0050789;GO:0065009
160	GO:0050789;GO:0002376;GO:0050896
161	GO:0050896;GO:0050789;GO:0007154
165	GO:0032501
180	GO:0051276;GO:0065003
181	GO:0032502;GO:0050789
246	GO:0009914;GO:0007154;GO:0046903;GO:0015833;GO:0050789
268	GO:0050789
