func_module_number	go_slim_pir
2	GO:0000375;GO:0051179;GO:0016070;GO:0009117;GO:0042254;GO:0065003
3	GO:0006996
5	GO:0032502;GO:0043062;GO:0045229;GO:0050789
6	GO:0050789
7	GO:0008152
8	GO:0050789
9	GO:0006412;GO:0044085
10	GO:0007059;GO:0007049;GO:0006281;GO:0050789;GO:0051276;GO:0000280;GO:0006260
11	GO:0015931;GO:0000375;GO:0016070;GO:0050789
12	GO:0042254;GO:0006396;GO:0016070
13	GO:0032392;GO:0007059;GO:0007049;GO:0006281;GO:0050789;GO:0000280;GO:0006260
15	GO:0022900;GO:0006119;GO:0009117
16	GO:0044419;GO:0050789;GO:0001775;GO:0002376;GO:0008283;GO:0050896
17	GO:0050896;GO:0050789
20	GO:0006412;GO:0044085
21	GO:0006412
22	GO:0044419;GO:0016032;GO:0050789;GO:0002376;GO:0001816;GO:0050896
23	GO:0007155;GO:0016192;GO:0001775;GO:0050789;GO:0002376;GO:0050896
24	GO:0007030;GO:0016192;GO:0051641
25	GO:0006508;GO:0009057
26	GO:0006412;GO:0042254
27	GO:0006412
28	GO:0006281;GO:0050789;GO:0051276;GO:0009059;GO:0006260
29	GO:0007059;GO:0007049;GO:0051234;GO:0050789;GO:0051276;GO:0051640;GO:0000280
31	GO:0006119;GO:0009117
34	GO:0044419;GO:0050789;GO:0002376;GO:0001816;GO:0050896
35	GO:0044419;GO:0016032;GO:0050789;GO:0002376;GO:0050896
36	GO:0006396;GO:0016070
38	GO:0050789
39	GO:0006396
40	GO:0031647;GO:0050789;GO:0036211;GO:0016070;GO:0050896;GO:0009059
46	GO:0016043;GO:0006281
47	GO:0006091;GO:0006082;GO:0005975;GO:0009117
48	GO:0006091;GO:0006082;GO:0005975;GO:0009117
51	GO:0016070
55	GO:0006865;GO:0015849
56	GO:0007005
63	GO:0043062;GO:0045229;GO:0050789
64	GO:0022607;GO:0006996
65	GO:0036211
69	GO:0036211
70	GO:0050789
72	GO:0050789
74	GO:0006810;GO:0051640;GO:0048753;GO:0051641
79	GO:0006066;GO:0006629
91	GO:0050789
96	GO:0006396;GO:0016070
101	GO:0006412
102	GO:0022607;GO:0007155
107	GO:0002376;GO:0050896;GO:0050789
119	GO:0050789
122	GO:0065003
133	GO:0006790;GO:0006805;GO:0006082;GO:0043603;GO:0006629;GO:0050896
134	GO:0050789
136	GO:0006996
138	GO:0051604;GO:0006457
140	GO:0050789;GO:0002376;GO:0001775
151	GO:0006457
156	GO:0032502;GO:0032501;GO:0050789;GO:0040007
169	GO:0050896;GO:0050789
176	GO:0006082
177	GO:0007059
178	GO:0050789
186	GO:0050896;GO:0050789
187	GO:0016070;GO:0006520
188	GO:0002376;GO:0040011
193	GO:0006936
195	GO:0022414;GO:0050896
199	GO:0006412
200	GO:0006066;GO:0006629
203	GO:0032502;GO:0050789
204	GO:0002376;GO:0044419;GO:0050896;GO:0050789
207	GO:0050789
211	GO:0015031
218	GO:0050896
219	GO:0032501
221	GO:0050896
227	GO:0050789
235	GO:0006082;GO:0006629
255	GO:0032502;GO:0022607;GO:0006996
267	GO:0050789
276	GO:0050789
286	GO:0008150
288	GO:0015669
290	GO:0050789
328	GO:0050789
330	GO:0002376
335	GO:0050789
386	GO:0016043;GO:0032501
400	GO:0065003;GO:0016050
407	GO:0006091;GO:0009117
411	GO:0006082
412	GO:0006793;GO:0050789;GO:0036211
415	GO:0043603;GO:0006790;GO:0006082;GO:0006629
420	GO:0050896
422	GO:0032502;GO:0022607
