func_module_number	go_slim_pir
1	GO:0006412
2	GO:0006091;GO:0009117;GO:0005975;GO:0006082
3	GO:0051641;GO:0065003;GO:0051276
4	GO:0006354;GO:0050789;GO:0065003
5	GO:0051641;GO:0050789;GO:0016192;GO:0046903
6	GO:0006354;GO:0050789;GO:0065003
7	GO:0022607;GO:0007155;GO:0006811
8	GO:0006396;GO:0042254;GO:0009057;GO:0016070
9	GO:0006793;GO:0006082;GO:0006629
10	GO:0009117
11	GO:0050789;GO:0032502
12	GO:0065003
13	GO:0006412;GO:0065003;GO:0042254
14	GO:0050789
15	GO:0050789;GO:0050896
16	GO:0032501;GO:0050789;GO:0032502
17	GO:0050789;GO:0036211;GO:0007049;GO:0009057;GO:0022414;GO:0006508
18	GO:0007005;GO:0065003;GO:0022900;GO:0009117;GO:0006119
19	GO:0015031;GO:0007032;GO:0006914;GO:0016032;GO:0044419;GO:0009057;GO:0022607;GO:0061024;GO:0016192;GO:0006508
20	GO:0051641
21	GO:0051234;GO:0051641;GO:0006412
22	GO:0050789;GO:0001816;GO:0002376;GO:0065009;GO:0050896;GO:0044419
23	GO:0006082;GO:0006805;GO:0050896;GO:0042445;GO:0006629
24	GO:0009057;GO:0006508;GO:0036211
25	GO:0006793;GO:0006082;GO:0006629;GO:0018904
26	GO:0022900;GO:0006119
27	GO:0051258;GO:0043473;GO:0051641;GO:0006810;GO:0065008;GO:0051640;GO:0048753
28	GO:0050789;GO:0006996
29	GO:0050789
30	GO:0050789;GO:0016043;GO:0006281;GO:0036211
31	GO:0050789;GO:0016043;GO:0032502;GO:0016049
32	GO:0016070;GO:0000375
33	GO:0050789;GO:0002376;GO:0008037;GO:0050896;GO:0044419;GO:0016192
34	GO:0007029;GO:0061024
35	GO:0016192;GO:0022607;GO:0048753
36	GO:0050789;GO:0002376
37	GO:0006793;GO:0050789;GO:0006629
38	GO:0050789;GO:0022607;GO:0007033;GO:0006914
39	GO:0043603;GO:0050789;GO:0019538
40	GO:0007154;GO:0050789;GO:0006811;GO:0051606
41	GO:0032502;GO:0036211
42	GO:0051641;GO:0016192;GO:0007030
43	GO:0015031
44	GO:0050789;GO:0006811;GO:0065008
45	GO:0051641;GO:0050789;GO:0016192
46	GO:0016043;GO:0032502
47	GO:0050789;GO:0016043
48	GO:0006396;GO:0042254;GO:0016070
49	GO:0015031;GO:0006836;GO:0022406;GO:0048284;GO:0046903;GO:0016050;GO:0051640;GO:0061024;GO:0016192
50	GO:0015931;GO:0051641;GO:0006396;GO:0016070
51	GO:0007059;GO:0051234;GO:0007049;GO:0000280;GO:0051276;GO:0051640;GO:0022607
52	GO:0015031;GO:0006082;GO:0007031;GO:0006629
53	GO:0051604;GO:0006457
54	GO:0032501;GO:0032502
55	GO:0006082;GO:0006805;GO:0006790;GO:0050896;GO:0043603;GO:0006629
56	GO:0050789;GO:0016043;GO:0006811;GO:0036211;GO:0050896;GO:0006793;GO:0065008
57	GO:0050789;GO:0050896;GO:0006793;GO:0036211
58	GO:0006082;GO:0006629
59	GO:0006520;GO:0016070
60	GO:0032501;GO:0050789;GO:0032502
61	GO:0050789
62	GO:0006811
63	GO:0050789;GO:0032502;GO:0050896
64	GO:0016050;GO:0051641;GO:0061024;GO:0016192
65	GO:0009057;GO:0006508
66	GO:0050789;GO:0001816;GO:0002376;GO:0032502;GO:0036211;GO:0050896;GO:0001775;GO:0006793
67	GO:0065009;GO:0050789;GO:0007049
68	GO:0050789;GO:0009059;GO:0006112;GO:0036211;GO:0005976;GO:0006793
69	GO:0050789;GO:0050896
70	GO:0006869;GO:0006629;GO:0006082
71	GO:0007059;GO:0007049;GO:0000280;GO:0051276;GO:0022414;GO:0022607
72	GO:0006351;GO:0050789;GO:0032502;GO:0050896
73	GO:0036211
74	GO:0006354;GO:0050789;GO:0006396
75	GO:0050789;GO:0050896
76	GO:0050789;GO:0002376;GO:0065009;GO:0050896;GO:0044419
