func_module_number	go_slim_pir
4	GO:0006629;GO:0006082;GO:0019748
5	GO:0006412;GO:0042254
8	GO:0032501
9	GO:0065003
10	GO:0006996
14	GO:0007005;GO:0065003;GO:0009117
15	GO:0008283;GO:0007155;GO:0002376;GO:0001775;GO:0050789;GO:0050896;GO:0001816;GO:0044419
16	GO:0002376;GO:0001775
17	GO:0043603;GO:0006790;GO:0006805
18	GO:0050789;GO:0050896
19	GO:0002376;GO:0050789;GO:0050896;GO:0016032;GO:0044419
20	GO:0007049;GO:0051234;GO:0051276;GO:0007059;GO:0050789;GO:0051640;GO:0000280
23	GO:0032501;GO:0032502;GO:0040007;GO:0050789
24	GO:0050896
25	GO:0050789
26	GO:0006396;GO:0016070;GO:0050789
28	GO:0045229;GO:0043062
30	GO:0050896
36	GO:0002376;GO:0050789;GO:0050896;GO:0040011;GO:0044419
40	GO:0007049
41	GO:0032502;GO:0050789
42	GO:0050789
43	GO:0045333
46	GO:0045229;GO:0043062
47	GO:0007049;GO:0051276;GO:0007059;GO:0050789;GO:0006281;GO:0000280
48	GO:0006119;GO:0009117;GO:0022900
51	GO:0002376;GO:0050789;GO:0050896;GO:0016032;GO:0044419
52	GO:0006629;GO:0007033
54	GO:0032502;GO:0002376;GO:0001775;GO:0050789;GO:0050896
55	GO:0032502;GO:0050789
56	GO:0007049;GO:0051276;GO:0007059;GO:0006260;GO:0050789;GO:0006281;GO:0000280
57	GO:0006412;GO:0006119;GO:0009117
63	GO:0051604;GO:0006457;GO:0050896
72	GO:0022607
73	GO:0032502;GO:0050789;GO:0050896
75	GO:0006396;GO:0016070;GO:0042254
76	GO:0044085;GO:0065003;GO:0009117;GO:0016070
80	GO:0016043
81	GO:0006996;GO:0051641
89	GO:0006281;GO:0006260
91	GO:0065003;GO:0008152
92	GO:0044085;GO:0006412
94	GO:0002376;GO:0050789;GO:0050896;GO:0040011;GO:0044419
95	GO:0050789
96	GO:0016050;GO:0065008
99	GO:0009057;GO:0006508
101	GO:0009057;GO:0006508
111	GO:0006629;GO:0006066
112	GO:0006810;GO:0007031;GO:0051641
126	GO:0006396;GO:0016070;GO:0042254
127	GO:0006396;GO:0016070
132	GO:0002376;GO:0050789
135	GO:0008152
136	GO:0009057;GO:0006508
137	GO:0006281;GO:0007059
138	GO:0006281
139	GO:0016070
143	GO:0050789
149	GO:0006629;GO:0006082
150	GO:0006082
161	GO:0016070
162	GO:0006396;GO:0016070
164	GO:0016070;GO:0009059;GO:0016043
165	GO:0032502;GO:0050896
166	GO:0022607
171	GO:0002376;GO:0001775;GO:0050789
172	GO:0002376;GO:0001775;GO:0050789;GO:0046903;GO:0016192;GO:0001816
177	GO:0006396;GO:0016070;GO:0042254
178	GO:0042254
180	GO:0050789
182	GO:0016192
183	GO:0006412
184	GO:0006412
188	GO:0006396;GO:0016070
189	GO:0006810;GO:0051641;GO:0042254
192	GO:0016070;GO:0051276
195	GO:0051641
196	GO:0051641;GO:0006457;GO:0050789
197	GO:0015931;GO:0000375;GO:0016070;GO:0051641
215	GO:0006412
216	GO:0006412
235	GO:0006914
238	GO:0043412;GO:0016070
