go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.006395   2,596 annotations READ: go_slim_results_K1_string_0.7.txt 
328 IDs in all associations
func_module_number	
1	GO:0050789
2	GO:0006082;GO:0005975;GO:0009117;GO:0006091
3	GO:0051641;GO:0051234
4	GO:0006396;GO:0016070;GO:0050789
5	GO:0051604;GO:0036211
6	GO:0006412
7	GO:0065008;GO:0065009;GO:0016192;GO:0006811;GO:0015031;GO:0050789
8	GO:0006396;GO:0016070
9	GO:0051641;GO:0006996;GO:0006810;GO:0022607;GO:0051640
10	GO:0016192
11	GO:0006836;GO:0046903;GO:0061024;GO:0048284;GO:0016192;GO:0016050;GO:0051640;GO:0022406
12	GO:0032501
13	GO:0006996;GO:0051258;GO:0050789
14	GO:0051641;GO:0016192;GO:0061024;GO:0016050
15	GO:0007154;GO:0050896;GO:0050789
16	GO:0009117
17	GO:0009117;GO:0022900;GO:0006119
18	GO:0051276
19	GO:1902600;GO:0065008;GO:0006914;GO:0050789
20	GO:0043473;GO:0048753;GO:0016192;GO:0022607
21	GO:0015931;GO:0051641;GO:0016070;GO:0000375
22	GO:0051641;GO:0065008;GO:0043473;GO:0006810;GO:0051640;GO:0048753
23	GO:0065008;GO:0009057;GO:0016070;GO:0050789
24	GO:0006811
25	GO:0006082;GO:0050896;GO:0006805;GO:0042445;GO:0006629
26	GO:0051641;GO:0016192;GO:0061024;GO:0016050
27	GO:0006082;GO:0043603;GO:0006139;GO:0006793;GO:0006790
28	GO:0006396;GO:0009057;GO:0016070;GO:0050789
29	GO:0006996;GO:0022607
30	GO:0016070;GO:0000375
31	GO:0051641;GO:0016192
32	GO:0051641;GO:0006810
33	GO:0007059
34	GO:0007154;GO:0050789
35	GO:0051604;GO:0006793;GO:0006629
36	GO:0051641;GO:0006810
37	GO:0032502;GO:0050896;GO:0032501;GO:0050789
38	GO:0050877;GO:0065008;GO:0006811;GO:0008015
39	GO:0006869;GO:0006793;GO:0065003;GO:0032501;GO:0006629;GO:0050789
40	GO:0050896;GO:0001906;GO:0065003;GO:0002376;GO:0001775;GO:0050789
41	GO:0042254;GO:0006396;GO:0016070
42	GO:0008150
43	GO:0042254
44	GO:0036211
45	GO:0006351;GO:0065003;GO:0050789
46	GO:0044419;GO:0016032;GO:0061024;GO:0007032;GO:0016192;GO:0022607;GO:0009057;GO:0006508;GO:0006914;GO:0015031;GO:0022411
47	GO:0006996;GO:0051258
48	GO:0006082;GO:0015031;GO:0007031;GO:0006629
49	GO:0007005;GO:0015031;GO:0061024
50	GO:0032502;GO:0050896;GO:0008283;GO:0016043;GO:0032501;GO:0050789
51	GO:0006508;GO:0009057
52	GO:0022900;GO:0006119
53	GO:0051641;GO:0015931
54	GO:0022414;GO:0007049;GO:0009057;GO:0036211;GO:0006508;GO:0050789
55	GO:0006351;GO:0001816;GO:0050789
56	GO:0051604;GO:0051641;GO:0006457;GO:0051234;GO:0050789
58	GO:0016070;GO:0000375
59	GO:0006520;GO:0016070
60	GO:0032502;GO:0006936;GO:0032989;GO:0006996;GO:0022607
61	GO:0007059;GO:0051276;GO:0006281;GO:0050789
62	GO:0007049;GO:0065009;GO:0050789
63	GO:0050789;GO:0006354
64	GO:0006996;GO:0007049;GO:0006457
65	GO:0042254;GO:0065003;GO:0006412
66	GO:0006260;GO:0032392;GO:0006281
67	GO:0006281
68	GO:0002376;GO:0050896;GO:0050789
