go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.007875   3,008 annotations READ: go_slim_results_M1_string_0.7.txt 
408 IDs in all associations
func_module_number	
1	GO:0051261;GO:0050789;GO:0006810;GO:0006996;GO:0051640;GO:0051641;GO:0051258
2	GO:0002376;GO:0050789;GO:0065003;GO:0001775;GO:0001906;GO:0050896
3	GO:0006412
4	GO:0065003;GO:0048753;GO:0016192
5	GO:0050789;GO:0007033;GO:0022607;GO:0006914;GO:0006811;GO:0050896;GO:0007154
6	GO:0032501;GO:0006629;GO:0050789;GO:0006869;GO:0065003
7	GO:0009117;GO:1902600;GO:0050789;GO:0065008
8	GO:0007005;GO:0006810;GO:0051641;GO:0061024
9	GO:0032989;GO:0032502;GO:0022607;GO:0006996;GO:0006936
10	GO:0022607;GO:0006996;GO:0050789
11	GO:0050789;GO:0006810;GO:0061024;GO:0007005;GO:0050896;GO:0065008
12	GO:0007030;GO:0016192;GO:0051641;GO:0016050
13	GO:0006412;GO:0042254
14	GO:0006119;GO:0007005;GO:0065003;GO:0009117;GO:0022900
15	GO:0002376;GO:0001816;GO:0044419;GO:0050789;GO:0050896
16	GO:0002376;GO:0050789;GO:0008283;GO:0001775;GO:0065009;GO:0050896
17	GO:0065003;GO:0051641
18	GO:0006810;GO:0006457;GO:0006996;GO:0051640;GO:0051641;GO:0007049
19	GO:0022607;GO:0007155;GO:0050789
20	GO:0032501;GO:0032502
21	GO:0009057;GO:0044419;GO:0061024;GO:0006508;GO:0022607;GO:0016032;GO:0006914;GO:0016192;GO:0007032;GO:0015031
22	GO:0006396;GO:0009057;GO:0050789;GO:0016070
23	GO:0050896;GO:0050789;GO:0032502
24	GO:0009057;GO:0050789;GO:0006412;GO:0016070;GO:0065008
25	GO:0050789
26	GO:0050789;GO:0008015;GO:0006936;GO:0006811;GO:0007154;GO:0065008
27	GO:0065003
28	GO:0050789;GO:0051276;GO:0006354;GO:0000280;GO:0006396;GO:0007059
29	GO:0016043;GO:0036211;GO:0050789
30	GO:0065008;GO:0006810;GO:0048753;GO:0051640;GO:0051641;GO:0051258;GO:0043473
31	GO:0050789;GO:0046903;GO:0006836;GO:0061024;GO:0048284;GO:0016050;GO:0051640;GO:0016192;GO:0022406;GO:0007154
32	GO:0006396;GO:0042254;GO:0016070
33	GO:0002376;GO:0001816;GO:0044419;GO:0050789;GO:0065009;GO:0050896
34	GO:0007031;GO:0006082;GO:0006629;GO:0015031
35	GO:0002376;GO:0044419;GO:0050789;GO:0008037;GO:0016192;GO:0050896
