func_module_number	lst
1	GO:0042149;GO:0097352;GO:0006622;GO:0036092;GO:0007041;GO:0061919;GO:0006914;GO:0072665;GO:0006623;GO:0007034;GO:0016241
2	GO:0006457;GO:0051604;GO:0061077
3	GO:0001936;GO:0001938;GO:0001935;GO:0050918;GO:0050679;GO:0050678;GO:0048010;GO:0035924;GO:0050673;GO:0002040;GO:0030334;GO:0038084;GO:0060754;GO:0050927;GO:0050926;GO:0060753;GO:0001525;GO:0048514;GO:0030335
4	GO:0002397;GO:0002502;GO:0002474
5	GO:0070647;GO:0043687;GO:0016579
6	GO:0035329;GO:0050957;GO:0007605;GO:0050954
7	GO:0090522;GO:0006904;GO:0048278;GO:0140029;GO:0099022;GO:0140056;GO:0090148;GO:0022406
8	GO:0007015;GO:0030036;GO:0030029;GO:0097435;GO:0008154;GO:0051258;GO:0030041;GO:0110053
9	GO:0006816;GO:0098916;GO:0007268;GO:0099537;GO:0099536;GO:0030001;GO:0006812;GO:0070588;GO:0034762;GO:0035249;GO:0061577;GO:0098662;GO:0098655;GO:0098660;GO:0034220;GO:0032412;GO:0050804;GO:0099177;GO:0022898;GO:0032409;GO:0098943
10	GO:0035567;GO:0016055;GO:0060070;GO:0060071;GO:0009790;GO:0036514;GO:0030901;GO:1904948;GO:0048598;GO:0071300;GO:0031175;GO:0048666;GO:0033278;GO:0036515
11	GO:0045739;GO:0006282;GO:0051054;GO:1904507;GO:0080135;GO:0060382;GO:1905168;GO:1904505;GO:0051052;GO:0006281
12	GO:0000338;GO:2000434;GO:0045116
13	GO:0099022;GO:0048193;GO:0006888;GO:0006900;GO:0006901
14	GO:0007229;GO:0007160;GO:0033627;GO:0031589;GO:0098609;GO:0034113;GO:0048646;GO:0001704;GO:0045123;GO:0007369;GO:0035295;GO:0001525
15	GO:0042752;GO:0007623;GO:0032922;GO:0048511;GO:0009648;GO:0009649;GO:2000323
16	GO:0006457;GO:0051604;GO:0006458;GO:0035966
17	GO:0002399;GO:0002503;GO:0002501;GO:0002396;GO:0002478;GO:0019884;GO:0019886;GO:0048002;GO:0019882;GO:0002495;GO:0002504;GO:0051251;GO:0002696;GO:0050867;GO:0051249;GO:0050870
18	GO:0019221;GO:0071345;GO:1901652;GO:0034097;GO:0038110;GO:0071352;GO:0070669;GO:0070672;GO:0035723;GO:0071350;GO:0097696;GO:0043069
19	GO:0042110;GO:0050852;GO:0046649;GO:0045321;GO:0050851;GO:0050776;GO:0050778;GO:0002757;GO:0002429;GO:0002764;GO:0002768;GO:0002253;GO:0050870;GO:0050863;GO:1903039;GO:0031295;GO:0031294
