func_module_number	go_slim_pir
5	GO:0042440;GO:0006082;GO:0006805
6	GO:0022607;GO:0007155
10	GO:0006811
11	GO:0050896;GO:0050789;GO:0002376
13	GO:0016043;GO:0007155
15	GO:0050789;GO:0008152;GO:0043062;GO:0050896;GO:0065009;GO:0045229;GO:0022411
16	GO:0050896;GO:0050789;GO:0040011;GO:0002376
21	GO:0050789;GO:0001775;GO:0006793;GO:0008283;GO:0002376;GO:0050896;GO:0044419;GO:0036211
23	GO:0050896;GO:0050789;GO:0032502
24	GO:0050896;GO:0050789;GO:0007154
25	GO:0050789;GO:0002376
26	GO:0006119;GO:0022900;GO:0009117
28	GO:0050789
29	GO:0050896;GO:0050789;GO:0007154
30	GO:0050896;GO:0050789;GO:0040011;GO:0002376
32	GO:0006810;GO:0051641
34	GO:0006412;GO:0050789
35	GO:0050896;GO:0050789;GO:0032502
36	GO:0043062;GO:0045229
37	GO:0016192;GO:0016050;GO:0051641;GO:0061024
38	GO:0006508;GO:0009057
40	GO:0006412
41	GO:0050896;GO:0050789;GO:0032502
43	GO:0050789;GO:0065008;GO:0006811;GO:0050877;GO:0007154
44	GO:0016070;GO:0065003;GO:0006520;GO:0007005
45	GO:0009914;GO:0032501;GO:0050789;GO:0015833;GO:0046903
50	GO:0016070;GO:0006396;GO:0006412;GO:0042254
52	GO:0050896;GO:0044419;GO:0050789;GO:0002376
53	GO:0050877
54	GO:0050896;GO:0044419;GO:0050789;GO:0002376
55	GO:0050789;GO:0016070;GO:0065003;GO:0006281;GO:0009059
56	GO:0050789
57	GO:0050789;GO:0001775;GO:0006793;GO:0008283;GO:0002376;GO:0050896;GO:0044419;GO:0036211
58	GO:0016192;GO:0048284;GO:0046903;GO:0061024;GO:0006836;GO:0022406;GO:0051640;GO:0016050
59	GO:0051606;GO:0044419;GO:0050789;GO:0002376
60	GO:0043062;GO:0032502;GO:0045229
61	GO:0032501;GO:0032502;GO:0006996
74	GO:0006351;GO:0001816;GO:0050789
75	GO:0008150
78	GO:0016070;GO:0006396;GO:0009057
98	GO:0006811
99	GO:0006811;GO:0050789
103	GO:0022414;GO:0032501
113	GO:0019538;GO:0009059
124	GO:0016070;GO:0006412
125	GO:0016070;GO:0050789;GO:0009057;GO:0065008
135	GO:0050896;GO:0050789;GO:0006082;GO:0006629
136	GO:0050896;GO:0001816;GO:0050789;GO:0002376
143	GO:0006997;GO:0051641;GO:0015931
144	GO:0065003;GO:0006412
