func_module_number	lst
94	GO:0043574;GO:0015919;GO:0007031;GO:0072662;GO:0072663;GO:0016558;GO:0065002;GO:0044743;GO:0071806;GO:0016562;GO:0044721
95	GO:1903974;GO:1903971
96	GO:0007015;GO:0034314;GO:0045010;GO:0030036;GO:0030029;GO:0097435;GO:0030041;GO:0044087;GO:0097581;GO:0010591;GO:0008154
98	GO:0031589
99	GO:1901995;GO:0110032
100	GO:0006680
101	GO:0015828;GO:0015821;GO:0015823;GO:1902024;GO:1903801
102	GO:0007229;GO:0007160;GO:0033627;GO:0031589;GO:0098609
103	GO:0002486;GO:0002484;GO:0002476;GO:0002428;GO:0019885;GO:0002475;GO:0002483;GO:0002824;GO:0019883;GO:0002821
104	GO:0007169;GO:0007167;GO:0048013;GO:1901701;GO:1901699
105	GO:0033141;GO:0033139;GO:0042501;GO:0002323;GO:0043330;GO:0043331;GO:0098586;GO:0060337;GO:0030101;GO:0071357;GO:0042100;GO:0033138;GO:0034340;GO:0046425
106	GO:0007411;GO:0097485;GO:0048812;GO:0120039
107	GO:0007229;GO:0007160;GO:0031589;GO:0030335;GO:2000147;GO:0040017
108	GO:0010810;GO:0031589;GO:0007160;GO:0072378;GO:0072376;GO:0050878;GO:0042730;GO:0007596;GO:0010811;GO:0050817;GO:0007599
111	GO:0034375;GO:0034369;GO:0034368;GO:0034367;GO:0030301;GO:0071827;GO:0015918;GO:0071825;GO:0006869;GO:0032368;GO:0032374;GO:0032371;GO:0033344;GO:0010876;GO:0015850
112	GO:0006898;GO:0006897;GO:0098657;GO:0010984;GO:0016197;GO:0090118
113	GO:2000463;GO:1990806;GO:0035235;GO:0098815;GO:0035249;GO:0060079;GO:0051968;GO:0099565;GO:0007268;GO:0098916;GO:0099537;GO:0099536;GO:0060078
114	GO:0035249;GO:0007215
115	GO:0006086;GO:0006085;GO:0006084;GO:0035384;GO:0071616;GO:0006090;GO:0006637;GO:0035383
117	GO:1905168;GO:0045911;GO:0010569;GO:2000781;GO:0000018
118	GO:0006325;GO:0045814;GO:0040029;GO:0006338
119	GO:0050853;GO:0050851;GO:0048015
120	GO:0006418;GO:0043039;GO:0043038
121	GO:0030865;GO:0007015
122	GO:0045109;GO:0045104
123	GO:0051209;GO:0051283;GO:0051282;GO:0051208;GO:0097553;GO:0051651;GO:0014808;GO:1903514;GO:0006874;GO:0014074;GO:0070296;GO:0055074;GO:0070588;GO:0098662;GO:0098655;GO:0051235;GO:0098660;GO:0034220;GO:0030001;GO:0006816
124	GO:0051090;GO:0051091;GO:1901652;GO:0034097;GO:0001819;GO:0001817;GO:0051092;GO:0001816;GO:0031347;GO:0002831;GO:0043433;GO:0071356;GO:0032088;GO:0034612
125	GO:0006689;GO:0046479;GO:0046514;GO:0019377
127	GO:0006906;GO:0090174;GO:0048284;GO:0061025;GO:0007041;GO:0007034;GO:0008333
128	GO:0009755;GO:0032870;GO:0009725;GO:0030522;GO:0000122
129	GO:0030198;GO:0043062
130	GO:0042704;GO:0030198;GO:0043062
131	GO:0045055;GO:0140029;GO:0006887;GO:0140056;GO:0023061;GO:0022406;GO:0006836;GO:0099643;GO:0007269;GO:0048278;GO:0032940;GO:0140352;GO:0046903;GO:0098916;GO:0007268
132	GO:0007224
133	GO:0007156;GO:0098609;GO:0042271;GO:0007157;GO:0045954;GO:0002717;GO:0002857;GO:0002860
135	GO:0016567;GO:0032446;GO:0070647;GO:0043687
136	GO:0010889;GO:0030730;GO:0019433;GO:0046461;GO:0046464;GO:0010883;GO:0046503
137	GO:0006956;GO:0006959
139	GO:0006914;GO:0061919;GO:0016236
140	GO:0007163;GO:1903361
141	GO:0031667
142	GO:0006110;GO:0030811;GO:0033121;GO:0031669;GO:0043470;GO:1903578;GO:0031667;GO:1900542;GO:0006140;GO:0046032;GO:0006096;GO:0009137;GO:0046031;GO:0009181
143	GO:0051592;GO:0005513;GO:0006813
144	GO:0035652;GO:0035654;GO:0099517;GO:0048490;GO:0099514;GO:0016183;GO:0048489;GO:0035459;GO:0097479;GO:0047496;GO:0008089;GO:0070142;GO:0016185
145	GO:0045216;GO:0034330;GO:0098609;GO:0034329;GO:0007043;GO:0086073;GO:0086042;GO:0002934;GO:0098911;GO:0086069;GO:0098901;GO:0086004
147	GO:0048193;GO:0006888
