func_module_number	go_slim_pir
1	GO:0022607;GO:0050896;GO:0050789;GO:0006914;GO:0007033
2	GO:0006793;GO:0050896;GO:0050789;GO:0007005;GO:0006914;GO:0036211;GO:0065009
3	GO:0006119;GO:0022900;GO:0009117
4	GO:0061024;GO:0016050;GO:0016192;GO:0051641
6	GO:0016070;GO:0009059;GO:0050789;GO:0006281;GO:0065003
7	GO:0050789;GO:0065008;GO:0051261;GO:0006996
9	GO:0050789;GO:0050878;GO:0050896;GO:0050817
10	GO:1902600;GO:0050789;GO:0065008;GO:0006914;GO:0007033
11	GO:0050789;GO:0050896;GO:0007154
12	GO:0042254;GO:0006412
13	GO:0061024;GO:0048284;GO:0016192;GO:0051640;GO:0051641;GO:0022406;GO:0016050
14	GO:0050789;GO:0006412;GO:0016070;GO:0006396
15	GO:0006836;GO:0061024;GO:0007154;GO:0048284;GO:0050789;GO:0016192;GO:0051640;GO:0022406;GO:0016050;GO:0046903
16	GO:0006508;GO:0050789;GO:0009057
17	GO:0016070;GO:0000375;GO:0065003
18	GO:0051604;GO:0006629;GO:0006793
19	GO:0050896;GO:0001816;GO:0050789;GO:0044419;GO:0036211;GO:0065009;GO:0002376
20	GO:0050789;GO:0006412;GO:0065003
21	GO:0050789;GO:0050896
23	GO:0016043
24	GO:0031023;GO:0050789;GO:0051258;GO:0006996
26	GO:0050896;GO:0032502;GO:0050789;GO:0048511;GO:0006351;GO:0036211;GO:0065009
27	GO:0043062;GO:0050789;GO:0045229
28	GO:0050789;GO:0050896
29	GO:0032502;GO:0032501
30	GO:0007059;GO:0006281
31	GO:0036211;GO:0006790;GO:0009059
32	GO:0051234;GO:0051641
33	GO:0022607;GO:0050789;GO:0048511
34	GO:0006508;GO:0007049;GO:0000280;GO:0022414;GO:0007059;GO:0051276;GO:0009057;GO:0050789;GO:0036211
35	GO:0051604;GO:0006811;GO:0015849
36	GO:0006082;GO:0009117;GO:0006091;GO:0005975
39	GO:0050789;GO:0051301;GO:0006412
40	GO:0009059
41	GO:0042254;GO:0006396;GO:0016070
42	GO:0006412;GO:0009117;GO:0006520;GO:0016070
43	GO:0032502;GO:0006996;GO:0032501
45	GO:0016192;GO:0065003
46	GO:0006811
47	GO:0032502;GO:0050789;GO:0050896;GO:0032501
48	GO:0006811
49	GO:0022607;GO:0006811
51	GO:0050789;GO:0051276;GO:0006281
52	GO:0050789
53	GO:0006811
54	GO:0050789;GO:0007154
55	GO:0061024;GO:0050789;GO:0016192;GO:0051640;GO:0051641;GO:0016050;GO:0065003
56	GO:0006793;GO:0006139;GO:0015031;GO:0022411;GO:0043603;GO:0007031;GO:0006790;GO:0006629
57	GO:0050896;GO:0050789;GO:0040011;GO:0044419;GO:0002376
58	GO:0061024;GO:0007005;GO:0051641;GO:0006810
59	GO:0006082;GO:0006790;GO:0043603
60	GO:0051276;GO:0009059;GO:0050789;GO:0006260;GO:0006281
62	GO:0050789;GO:0050896
63	GO:0006790
64	GO:0005976;GO:0006112
65	GO:0050789;GO:0016043;GO:0006869;GO:0032501
66	GO:0006793;GO:0006139
67	GO:0050789;GO:0065008
68	GO:0050789;GO:0006811;GO:0065008
69	GO:0050789;GO:0007032;GO:0016192;GO:0051641
70	GO:0036211;GO:0050789;GO:0006793;GO:0050896
71	GO:0008150
72	GO:0006260
73	GO:0016070;GO:0000375
74	GO:0050896;GO:0008037;GO:0050789;GO:0044419;GO:0002376
75	GO:0050789
78	GO:0036211
79	GO:0050789;GO:0016070;GO:0000375
80	GO:0006508;GO:0015031;GO:0050896;GO:0009057
81	GO:0008150
82	GO:0050789;GO:0050896
83	GO:0015031;GO:0050789;GO:0050896;GO:0016192
84	GO:0006412
86	GO:0022607;GO:0006996
87	GO:0050789;GO:0050896
88	GO:0050879;GO:0051604;GO:0006936;GO:0050877
90	GO:0036211;GO:0009059
92	GO:0050789;GO:0065008
93	GO:0050789
94	GO:0050789
95	GO:0007154;GO:0050789;GO:0065008;GO:0050877;GO:0006811
96	GO:0006793;GO:0032502;GO:0050789;GO:0001775;GO:0016192;GO:0036211;GO:0002376
97	GO:0051179;GO:0050789;GO:0032502
98	GO:0043062;GO:0045229
100	GO:0050789
101	GO:0032502;GO:0050789;GO:0016043
102	GO:0015031;GO:0015931
104	GO:0051234;GO:0051641
105	GO:0050789
106	GO:0050789
107	GO:0032502;GO:0022414;GO:0032501
108	GO:0051179;GO:0006997
109	GO:0006396;GO:0043412;GO:0016070
110	GO:0022607;GO:0016192;GO:0051640;GO:0051641;GO:0022406;GO:0006996
111	GO:0050896;GO:0050789;GO:0006811;GO:0032501;GO:0065009
112	GO:0050789;GO:0050896;GO:0002376
113	GO:0006082;GO:0006520
114	GO:0050789;GO:0050896
116	GO:0006508
117	GO:0050789
118	GO:0050789;GO:0050896;GO:0009117;GO:0006457
119	GO:0061024;GO:0007005;GO:0015031
120	GO:0050896;GO:0022411;GO:0043062;GO:0008152;GO:0045229
121	GO:0016049;GO:0032502;GO:0050789;GO:0065008;GO:0016043
122	GO:0006629;GO:0050896;GO:0006082;GO:0006805
123	GO:0007049;GO:0050789
124	GO:0006082;GO:0044238
126	GO:0009057
127	GO:0001816;GO:0050789;GO:0050896;GO:0002376
128	GO:0006396;GO:0016070
129	GO:0015931;GO:0051641
130	GO:0006793;GO:0050896;GO:0032502;GO:0050789;GO:0001775;GO:0008643;GO:0006629;GO:0036211;GO:0002376
131	GO:0006396
132	GO:0006793;GO:0050896;GO:0050789;GO:0001775;GO:0044419;GO:0036211;GO:0002376
133	GO:0050896;GO:0050789;GO:0001816
134	GO:0048753
138	GO:0006793;GO:0050896;GO:0001816;GO:0032502;GO:0050789;GO:0001775;GO:0036211;GO:0002376
139	GO:0050789;GO:0050896
140	GO:0032502;GO:0050789;GO:0007155
141	GO:0050789;GO:0065008;GO:0009057;GO:0016070
142	GO:0006351
144	GO:0050789;GO:0001816;GO:0051606;GO:0002376
145	GO:0002376;GO:0050896;GO:0044419
147	GO:0051640;GO:0051641;GO:0006810
148	GO:0006396
149	GO:0050789;GO:0050896
150	GO:0006518
151	GO:0050789;GO:0006066;GO:0050896;GO:0006629
152	GO:0022607;GO:0032502;GO:0006996
153	GO:0051641;GO:0006810
154	GO:0006281;GO:0009059
155	GO:0061024;GO:0022607;GO:0007155;GO:0065008;GO:0006811
157	GO:0048753;GO:0051640;GO:0051641;GO:0006810
159	GO:0006351;GO:0050789;GO:0051179
161	GO:0022607;GO:0032502;GO:0050789;GO:0065008;GO:0051641;GO:0032501
162	GO:0050789
163	GO:0006082;GO:0009117;GO:0006790
165	GO:0007155
166	GO:0006457
167	GO:0006811;GO:0065008
168	GO:0036211
170	GO:0016070;GO:0000375
171	GO:0050789;GO:0036211
172	GO:0051258;GO:0050789;GO:0006996
173	GO:0006119;GO:0009117;GO:0042180
174	GO:0043062;GO:0045229
175	GO:0050789
176	GO:0051234;GO:0050789;GO:0051641
177	GO:0043603;GO:0006629
178	GO:0016192
180	GO:0050789;GO:0050896;GO:0031640
181	GO:0036211
184	GO:0008150
185	GO:0006629;GO:0006066
187	GO:0008152
188	GO:0050789;GO:0050896;GO:0002376
189	GO:0006996
191	GO:0050789;GO:0050896
193	GO:0002376
194	GO:0050789;GO:0065008;GO:0032501
196	GO:0046903;GO:0050789;GO:0016192
198	GO:0007059;GO:0051276;GO:0032502;GO:0050789;GO:0006281
204	GO:0016192;GO:0042440
205	GO:0032502;GO:0050789;GO:0016043
206	GO:0032502;GO:0032501
207	GO:0050789
210	GO:0051234;GO:0050789;GO:0051641
211	GO:0051261;GO:0050789;GO:0016192;GO:0006914;GO:0051640
212	GO:0051641;GO:0006810
213	GO:0050789;GO:0050896
215	GO:0006266
219	GO:0043603;GO:0006790;GO:0006805
220	GO:0051641;GO:0006810
221	GO:0008152
222	GO:0050896;GO:0007155;GO:0050789;GO:0001906;GO:0044419;GO:0002376
223	GO:0050789
224	GO:0050789;GO:0051276
226	GO:0061024;GO:0016050
227	GO:0050789;GO:0006811;GO:0007154
230	GO:0036211
231	GO:0006508;GO:0061024;GO:0007032;GO:0016032;GO:0009057;GO:0022607;GO:0022411;GO:0016192;GO:0044085;GO:0051641;GO:0044419
232	GO:0022607;GO:0009057;GO:0016070;GO:0050789;GO:0006412;GO:0006996
233	GO:0022607;GO:0032502;GO:0050789;GO:0022406;GO:0051641
234	GO:0044419
239	GO:0050789;GO:0065008;GO:0007154
240	GO:0046903;GO:0050789;GO:0009914
241	GO:0007155;GO:0050789;GO:0065008;GO:0007154
242	GO:0007030
243	GO:0022414
245	GO:0050789
246	GO:0006508;GO:0007032;GO:0009057;GO:0015031;GO:0016192
247	GO:0051258;GO:0050789;GO:0006996
248	GO:0051641;GO:0006810
251	GO:0050789;GO:0002376;GO:0009059
252	GO:0051641
254	GO:0006396;GO:0016070
255	GO:0050789;GO:0006354
256	GO:0050789;GO:0006260;GO:0006281;GO:0032392
257	GO:0022607;GO:0050789
258	GO:0022607;GO:0006082
259	GO:0016070;GO:0009059
260	GO:0006082
263	GO:0006396;GO:0043412;GO:0016070
266	GO:0050896;GO:0050789;GO:0006260;GO:0051276
268	GO:0006082;GO:0006629
271	GO:0006508;GO:0050896;GO:0009057;GO:0050789;GO:0006457
275	GO:0007155
276	GO:0019538;GO:0065009
277	GO:0050789;GO:0050896
278	GO:0042254;GO:0006396;GO:0009057;GO:0016070
281	GO:0032502;GO:0050877
282	GO:0050789
283	GO:0050789;GO:0016043
284	GO:0050789;GO:0002376;GO:0001775
285	GO:0006996
286	GO:0051276
287	GO:0022607;GO:0007155
288	GO:0006811
289	GO:0051258;GO:0006996
291	GO:0006396;GO:0016070
293	GO:0006811;GO:0065008;GO:0051606;GO:0008015
294	GO:0036211
296	GO:0007005;GO:0065003
297	GO:0006520;GO:0016070;GO:0009059
298	GO:0006082;GO:0006066;GO:0009117;GO:0006790
300	GO:0015931;GO:0051641
301	GO:0016043
302	GO:0016043
304	GO:0006351;GO:0050789
305	GO:0006508;GO:0009057
306	GO:0032392
310	GO:0044085;GO:0065003
312	GO:0051276
313	GO:0065009
314	GO:0006351
315	GO:0050789;GO:0065009
323	GO:0006259;GO:0051276;GO:0009059
326	GO:0008152
327	GO:0050789;GO:0006260;GO:0065009
328	GO:0045333;GO:0022900
330	GO:0022607;GO:0006996
331	GO:0016192
333	GO:0016070;GO:0000375
334	GO:0006396;GO:0016070
335	GO:0006457
337	GO:0006810
340	GO:0019538
341	GO:0007155;GO:0016043
342	GO:0022414
346	GO:0006997;GO:0051641
347	GO:0016070;GO:0009059
350	GO:0006396;GO:0043412;GO:0016070
351	GO:0050789
355	GO:0006793;GO:0006139;GO:0043603;GO:0006790;GO:0006082
356	GO:0007005;GO:0065003
357	GO:0061024;GO:0007005
360	GO:0050789
361	GO:0050789;GO:0007005
366	GO:0006396;GO:0016070
367	GO:0050789
