func_module_number	lst
1	GO:0061061;GO:0072359;GO:0006936
2	GO:0051603;GO:0098876;GO:0006511
5	GO:0048193;GO:0010256
7	GO:0002227;GO:0002385;GO:0002251;GO:0019731
9	GO:0010273;GO:1990169;GO:0071294;GO:0071280;GO:0097501;GO:0061687;GO:0046688
12	GO:0006457;GO:0051604;GO:0034975
13	GO:0032968;GO:0060261;GO:0032786;GO:2000144
17	GO:0016126;GO:1902653;GO:0006695;GO:0008203;GO:1902652
18	GO:0002181;GO:0006412;GO:0042254;GO:0022613;GO:0042274;GO:0006364
19	GO:0035194;GO:0016441
21	GO:0099514;GO:0099517;GO:0048490;GO:0048489;GO:0048753;GO:0032438;GO:0097479
23	GO:0045444;GO:0000122;GO:2000628;GO:0001568;GO:0072359;GO:2000630;GO:0001944;GO:0010586;GO:0048514;GO:1901701
24	GO:0030029;GO:0030036;GO:0061061;GO:0097435
26	GO:0035020
28	GO:0006119;GO:0009060;GO:0045333;GO:0015980;GO:0022904;GO:0042773;GO:0042775;GO:0022900;GO:0019646;GO:0006091;GO:0015986;GO:0042776;GO:0006754
30	GO:0051607;GO:0009615;GO:0045087;GO:0048525;GO:1903900;GO:0045071;GO:0050792;GO:0019058;GO:0002831;GO:0045069;GO:0019079;GO:0016032;GO:0031347;GO:0034097;GO:1901652;GO:0045088;GO:0140374;GO:0034340
31	GO:0050852;GO:0050851;GO:0045321;GO:0002429;GO:0042110;GO:0002768;GO:0046649;GO:0030098;GO:0030217;GO:1903131
32	GO:0140053;GO:0032543;GO:0045333;GO:0009060;GO:0015980;GO:0015986;GO:0006119;GO:0006754;GO:0009145;GO:0009206;GO:0009201;GO:0042776;GO:0022904
36	GO:0006790;GO:0019752
40	GO:0002181;GO:0006412;GO:0001732
43	GO:0000122;GO:0006352;GO:0006367;GO:0006338;GO:0006325;GO:0071824;GO:0040029;GO:0045815;GO:0141137
46	GO:0007173;GO:0038127
49	GO:0006412;GO:0006418;GO:0006520
51	GO:0016071;GO:0000398;GO:0000377
57	GO:0003007
60	GO:1901136
61	GO:0097190;GO:0008625;GO:0097191;GO:0043068;GO:0070266;GO:0097300
62	GO:0030198;GO:0043062;GO:0045229;GO:0030199;GO:0007229;GO:0009611
63	GO:0045321;GO:0046649;GO:0002252;GO:0002521;GO:1903131;GO:0030098;GO:0030097;GO:0007159;GO:1903708;GO:1902107;GO:0042110;GO:0002694;GO:0042113;GO:0051249;GO:0050776;GO:0002366;GO:0002263;GO:0002250
64	GO:0006661
66	GO:0045333;GO:0006091;GO:0009060;GO:0015980;GO:0006119;GO:0022900;GO:0022904;GO:0042776;GO:0015986;GO:0042775;GO:0042773;GO:0006754;GO:0009145;GO:0009206;GO:0055086;GO:0072522;GO:0009201
68	GO:0007031;GO:0072663;GO:0072662
70	GO:0016567;GO:0032446;GO:0070647;GO:0006511
72	GO:0140053
73	GO:0006954;GO:1901652;GO:0034097;GO:0019221;GO:0007249;GO:0071345;GO:0071347;GO:0038061;GO:0070555;GO:0032103;GO:0070098;GO:0050900;GO:1990869;GO:1990868;GO:0034612
75	GO:0050863;GO:1903037;GO:0007159;GO:0051249;GO:0042129;GO:0022407;GO:0042098;GO:0042110;GO:0002694;GO:0050670
