go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.005219   1,854 annotations READ: go_slim_results_M1_cpdb_0.9.txt 
261 IDs in all associations
func_module_number	
144	GO:0050789;GO:0001816;GO:0002376;GO:0050896
145	GO:0022607;GO:0022411;GO:0051641;GO:0007033;GO:0006508;GO:0048284;GO:0044419;GO:0009057;GO:0016192;GO:0007032;GO:0061024;GO:0016032
146	GO:0050789;GO:0006811;GO:0007154
148	GO:0008150
149	GO:0016050;GO:0051641;GO:0061024;GO:0016192
151	GO:0006629;GO:0006793;GO:0051604
152	GO:0050789;GO:0032502;GO:0016043
153	GO:0001816;GO:0002376;GO:0044419;GO:0051606;GO:0050789
154	GO:0001816;GO:0002376;GO:0006266;GO:0050896;GO:0050789
155	GO:0000375;GO:0016070
156	GO:0051234;GO:0051641;GO:0007005;GO:0050789;GO:0007031
157	GO:0050789;GO:0065003
158	GO:0065008;GO:0006810
159	GO:0006508
160	GO:0050789;GO:0050896
161	GO:0006811
163	GO:0009059;GO:0036211
164	GO:0050789
165	GO:0006865;GO:0015849
166	GO:0006508;GO:0051604
168	GO:0050789;GO:0007049
169	GO:0001775;GO:0050896;GO:0002376;GO:0019538;GO:0043603
171	GO:0050789;GO:0006629;GO:0051179
173	GO:0006811
174	GO:0006281;GO:0050789;GO:0032392;GO:0006260
175	GO:0006281;GO:0022411;GO:0007059;GO:0051276;GO:0050789;GO:0032502
176	GO:0051640;GO:0006810;GO:0051641
177	GO:0006396;GO:0050789
178	GO:0002376
180	GO:0006508;GO:0009057;GO:0036211
181	GO:0050789;GO:0051258;GO:0006996
182	GO:0006810;GO:0051641
183	GO:0050789;GO:0006354
184	GO:0050789;GO:0032502;GO:0016043
187	GO:0050789;GO:0006354
188	GO:0051276;GO:0007059
189	GO:0050789;GO:0065009
190	GO:0009059
191	GO:0022607;GO:0006996
192	GO:0051258;GO:0006996
193	GO:0050789;GO:0002376;GO:0050896
194	GO:0006811
195	GO:0008150
197	GO:0050789
198	GO:0050789;GO:0050896
200	GO:0050789;GO:0051641;GO:0051234
201	GO:0050789;GO:0016043
202	GO:0036211
203	GO:0006139;GO:0043603;GO:0006790;GO:0006793
206	GO:0051179;GO:0007155
207	GO:0006810;GO:0051641
208	GO:0006066;GO:0006790;GO:0051234;GO:0009117;GO:0051641;GO:0006082
209	GO:0050789;GO:0050896
210	GO:0022607
211	GO:0015031
212	GO:0007155
213	GO:0050789;GO:0050896
214	GO:0022607;GO:0016070;GO:0006996;GO:0009057;GO:0050789
216	GO:0050789;GO:0016043
217	GO:0031023;GO:0022607;GO:0006996
219	GO:0006281;GO:0016070;GO:0009059
220	GO:0050789
222	GO:0050789;GO:0002376;GO:0050896
223	GO:0022607;GO:0061024;GO:0007155;GO:0051604
224	GO:0050789;GO:0016043
225	GO:0042180
228	GO:0050789;GO:0051258;GO:0006996
229	GO:0065008;GO:0006811
231	GO:0006396;GO:0016070;GO:0043412
232	GO:0006996
233	GO:0050789;GO:0022607;GO:0006996
235	GO:0050789;GO:0032501;GO:0006520;GO:0006082
237	GO:0044085;GO:0016070
238	GO:0050896
239	GO:0008150
240	GO:0006082
241	GO:0050789;GO:0016070;GO:0043412
242	GO:0050789;GO:0050896
243	GO:0016043;GO:0007155
244	GO:0009117;GO:0006119
246	GO:0050789
248	GO:0016043
250	GO:0065003
251	GO:0050789;GO:0065009
252	GO:0050896;GO:0036211
253	GO:0015031
254	GO:0009059
255	GO:0006790;GO:0006139;GO:0006082;GO:0043603;GO:0050789;GO:0006793
257	GO:0006396;GO:0016070
258	GO:0006810;GO:0051640;GO:0051641;GO:0043473;GO:0048753
259	GO:0006396;GO:0065003;GO:0016070
260	GO:0050789;GO:0051276
261	GO:0050789
262	GO:0050789;GO:0032502
264	GO:0050789
266	GO:0050789;GO:0050896
269	GO:0065003;GO:0008152
270	GO:0006396;GO:0016070
271	GO:0006354;GO:0032502
273	GO:0006351
279	GO:0022414
280	GO:0006869
282	GO:0050789;GO:0006259;GO:0051276
283	GO:0007033;GO:0006508;GO:0048284;GO:0016050;GO:0061024
285	GO:0051641;GO:0006997
288	GO:0006629;GO:0006082
289	GO:0022900;GO:0045333
291	GO:0006520;GO:0006790;GO:0006082
293	GO:0050789;GO:0050896;GO:0031640
297	GO:0007155
298	GO:0036211
312	GO:0006520;GO:0006082
313	GO:0007005;GO:0065003
314	GO:0051604
315	GO:0006066;GO:0006082
321	GO:0043603;GO:0006805;GO:0006790
325	GO:0006066;GO:0006629
327	GO:0007155
337	GO:0006396;GO:0016070
340	GO:0000375;GO:0016070
341	GO:0050789;GO:0032502
348	GO:0050877
349	GO:0001816;GO:0002376;GO:0001775;GO:0050789;GO:0032502
351	GO:0065008;GO:0050789;GO:0050896
357	GO:0006281
358	GO:0050789;GO:0065009
359	GO:0050896;GO:0050877
362	GO:0050789;GO:0065009
363	GO:0050789;GO:0046903
364	GO:0006629;GO:0006793
365	GO:0042254
370	GO:0007005;GO:0050789
371	GO:0016043
372	GO:0040007;GO:0006936
379	GO:0006520;GO:0006082
382	GO:0032502;GO:0032501
