func_module_number	go_slim_pir
1	GO:0006396;GO:0016070
2	GO:0008150
3	GO:0006396;GO:0050789;GO:0016070;GO:0009057
4	GO:0040011;GO:0050896;GO:0065008;GO:0002376;GO:0050789
5	GO:0006260;GO:0006281;GO:0032392
6	GO:0016192;GO:0051641
7	GO:0036211
8	GO:0016070;GO:0006520
9	GO:0016192;GO:0050789
10	GO:0016192
11	GO:0065009;GO:0050789;GO:0006811;GO:0007154
12	GO:0002376;GO:0050896;GO:0050789;GO:0001816
13	GO:0050789;GO:0065008;GO:1902600;GO:0006914
14	GO:0016192
15	GO:0016043;GO:0051641;GO:0065008;GO:0006810;GO:0051640
16	GO:0051276
17	GO:0006396;GO:0050789;GO:0016070;GO:0016043
18	GO:0015931;GO:0051641
19	GO:0061024;GO:0007005
20	GO:0016192;GO:0046903;GO:0007154;GO:0048284;GO:0016050;GO:0061024;GO:0022406;GO:0050789;GO:0051640;GO:0006836
21	GO:0036211;GO:0051604
22	GO:0006396;GO:0016070
24	GO:0050879;GO:0006936;GO:0050877
25	GO:0002376;GO:0050789
26	GO:0006996;GO:0006810;GO:0051641;GO:0051640;GO:0022607
27	GO:0048284;GO:0050789;GO:0016050;GO:0061024
28	GO:0045333;GO:0022900
29	GO:0050896;GO:0061024;GO:0065008;GO:0007005;GO:0002376;GO:0050789
30	GO:0050789;GO:0016070;GO:0065008;GO:0009057
31	GO:0006281
32	GO:0006996;GO:0051258
33	GO:0016192;GO:0051641;GO:0016050;GO:0061024
34	GO:0006936
35	GO:0006260;GO:0006281;GO:0009059
36	GO:0016192;GO:0051641;GO:0016050;GO:0061024
37	GO:0006396;GO:0016070;GO:0042254
38	GO:0006281;GO:0022414
39	GO:0009117
40	GO:0002376;GO:0050896;GO:0050789
41	GO:0016192;GO:0046903
42	GO:0016192;GO:0016032;GO:0044419;GO:0006914;GO:0061024;GO:0009057;GO:0015031;GO:0006508;GO:0007032;GO:0022411;GO:0022607
43	GO:0036211
44	GO:0050789;GO:0051276;GO:0006281;GO:0036211
45	GO:0050789
46	GO:0006119;GO:0065003;GO:0022900;GO:0007005;GO:0009117
47	GO:0009057;GO:0006508
48	GO:0051640;GO:0022406;GO:0061024
49	GO:0050789;GO:0006260;GO:0006281;GO:0065009
