go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.007608   2,977 annotations READ: go_slim_results_K1_string_0.0.txt 
432 IDs in all associations
func_module_number	
1	GO:0065003;GO:0042254;GO:0006412
2	GO:0006811;GO:0065008
4	GO:0036211
5	GO:0006396;GO:0016070
8	GO:0006629;GO:0006082;GO:0042445;GO:0006805
9	GO:0006996;GO:0022607
10	GO:0006811
11	GO:0007155;GO:0022607
12	GO:0043603;GO:0006629;GO:0006790;GO:0006066;GO:0050896;GO:0006805;GO:0006082;GO:0042445
13	GO:0051640;GO:0022607;GO:0006810;GO:0048753;GO:0051641;GO:0043473
14	GO:0015031;GO:0016192;GO:0065008;GO:0007154;GO:0050789
15	GO:0006412
17	GO:0006629;GO:0006793
18	GO:0006119;GO:0022900;GO:0065003;GO:0007005;GO:0009117
19	GO:0036211
20	GO:0007155
21	GO:0065009;GO:0006629;GO:0016043;GO:0006869;GO:0050789;GO:0032501
22	GO:0006811;GO:0065009;GO:0022414;GO:0048469;GO:0050789
23	GO:0032502;GO:0050896;GO:0016043;GO:0050789;GO:0032501
24	GO:0006119;GO:0022900;GO:0065003;GO:0007005;GO:0009117
25	GO:0007155;GO:0016043
27	GO:0015931;GO:0050789;GO:0032502;GO:0065009
28	GO:0006396;GO:0016070;GO:0050789;GO:0042254
29	GO:0006629;GO:0005975;GO:0043603
31	GO:0048753;GO:0016192;GO:0022607
32	GO:0032502;GO:0032501
33	GO:0061024;GO:0006869;GO:0006811;GO:0065008
34	GO:0050789
35	GO:0006629;GO:0006793;GO:0006662
36	GO:1902600;GO:0065008;GO:0050789;GO:0006914;GO:0009117
37	GO:0007154;GO:0050789;GO:0050896
38	GO:0002376;GO:0036211;GO:0032502;GO:0050896;GO:0006793;GO:0044419;GO:0050789;GO:0001775;GO:0008283
39	GO:0045229;GO:0043062
41	GO:0006412
43	GO:0009117
44	GO:0051641;GO:0006810
45	GO:0016192;GO:0016050;GO:0061024;GO:0051641
46	GO:0006066;GO:0006629;GO:0050896;GO:0006805;GO:0006082;GO:0042445
47	GO:0040011;GO:0050789;GO:0050896;GO:0002376
48	GO:0006629;GO:0006793
50	GO:0007030
51	GO:0050789;GO:0006811;GO:0051606
52	GO:0050896;GO:0050789;GO:0032502;GO:0032501
53	GO:0051640;GO:0016050;GO:0061024;GO:0006836;GO:0016192;GO:0022406;GO:0050789;GO:0048284;GO:0046903
54	GO:0002376;GO:0001906;GO:0050896;GO:0050789;GO:0001775;GO:0065003
55	GO:0016050;GO:0061024;GO:0007030;GO:0016192;GO:0051641
56	GO:0032502
57	GO:0050896;GO:0050789;GO:0032502
58	GO:0040011;GO:0032502;GO:0016049;GO:0016043;GO:0050789
59	GO:0050789;GO:0006811;GO:0065009
60	GO:0043062;GO:0032502;GO:0050789;GO:0007155;GO:0045229
61	GO:0006508;GO:0009057
62	GO:0006508;GO:0036211;GO:0009057;GO:0022414;GO:0050789;GO:0007049
64	GO:0006936;GO:0006811;GO:0065008
65	GO:0016043;GO:0007059
66	GO:0006396;GO:0016070;GO:0042254
67	GO:0009117
68	GO:0006936;GO:0050789
69	GO:0006936;GO:0050879;GO:0050877
70	GO:0050789
71	GO:0050789;GO:0065009
72	GO:0050789
73	GO:0006836;GO:0016192;GO:0007154;GO:0050789;GO:0046903
78	GO:0015931
79	GO:0006811;GO:0065008
85	GO:0009059;GO:0002376;GO:0050896;GO:0008283;GO:0050789;GO:0001775
89	GO:0036211
98	GO:0008150
101	GO:0036211
103	GO:0051606
107	GO:0000375;GO:0016070
115	GO:0007049
118	GO:0015031
119	GO:0008150
121	GO:0036211
124	GO:0051234;GO:0051641
127	GO:0050789
134	GO:0006139;GO:0043603;GO:0006629;GO:0006790;GO:0006793
139	GO:0015849;GO:0006865
141	GO:0006351
143	GO:0000375;GO:0016070;GO:0015931;GO:0051641
144	GO:0051641;GO:0015931
145	GO:0065003
146	GO:0051276;GO:0065003
148	GO:0051276;GO:0022414;GO:0007059;GO:0007049;GO:0000280
