go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.001836     377 annotations READ: go_slim_results_M1_humanbase_0.9.txt 
85 IDs in all associations
func_module_number	
1	GO:0016070;GO:0006412;GO:0006396;GO:0042254
2	GO:0006260;GO:0050789;GO:0051276;GO:0007049;GO:0000280;GO:0007059
3	GO:0009117;GO:0022900;GO:0006119
4	GO:0051641;GO:0050789
5	GO:0002376;GO:0050789;GO:0044419;GO:0016032;GO:0050896
6	GO:0050789;GO:0065009;GO:0050896
7	GO:0016070;GO:0000375
10	GO:0006508;GO:0009057
11	GO:0016070;GO:0000375;GO:0043412
12	GO:0006508;GO:0009057
13	GO:0006457;GO:0050896
14	GO:0006457
15	GO:0006066;GO:0006629
16	GO:0006412;GO:0065003
18	GO:0009117;GO:0005975;GO:0006091;GO:0006082
19	GO:0050789;GO:0050896;GO:0002376;GO:0001906
20	GO:0050789;GO:0006281
23	GO:0006996;GO:0022607
24	GO:0051179
25	GO:0006996
27	GO:0051641;GO:0051276;GO:0015931
29	GO:0016070;GO:0006520
30	GO:0051276
31	GO:0050789;GO:0000375;GO:0016070
34	GO:0050789;GO:0036211
35	GO:0006082;GO:0006139;GO:0043603;GO:0006793;GO:0006790
36	GO:0006082
38	GO:0050896;GO:0002376;GO:0044419
39	GO:0050896
41	GO:0008152
43	GO:0050789;GO:0065003;GO:0002376;GO:0001775
46	GO:0050789;GO:0007049
48	GO:0036211
51	GO:0006508;GO:0009057
52	GO:0050789;GO:0002376;GO:0001775
53	GO:0050789;GO:0050896
55	GO:0006914;GO:0050896
56	GO:0007049
58	GO:0050789;GO:0065009
62	GO:0050789
63	GO:0050789;GO:0002376
71	GO:0036211;GO:0006793;GO:0065009
74	GO:0050789;GO:0022607
78	GO:0016070;GO:0006396;GO:0009057
80	GO:0006412
81	GO:0050896;GO:0044419
82	GO:0050789;GO:0007005
85	GO:0050789;GO:0050896
86	GO:0050789
87	GO:0050789
92	GO:0040011;GO:0050896;GO:0002376;GO:0001775
95	GO:0016070;GO:0006520
99	GO:0050789
104	GO:0050789;GO:0065003;GO:0065009
109	GO:0006396;GO:0050789;GO:0016070;GO:0051641;GO:0015931
118	GO:0050789;GO:0016043
120	GO:0006412
121	GO:0016043
122	GO:0065003
126	GO:0006281
128	GO:0050896
131	GO:0050789;GO:0036211;GO:0006508;GO:0009057
132	GO:0050789;GO:0050878
135	GO:0036211;GO:0006508;GO:0009057
137	GO:0000280
139	GO:0016192
140	GO:0050789
141	GO:0036211
147	GO:0050789
148	GO:0006805;GO:0006082;GO:0043603;GO:0006790;GO:0006629
150	GO:0007031;GO:0015031
153	GO:0065003
159	GO:0050789;GO:0032502;GO:0002376;GO:0001775
168	GO:0050789;GO:0001816
185	GO:0050789;GO:0001816
186	GO:0050789;GO:0065009
196	GO:0050789
201	GO:0006281
204	GO:0006520;GO:0006082
205	GO:0006259
209	GO:0036211
212	GO:0065003
213	GO:0050896;GO:0044419
214	GO:0032502;GO:0022411;GO:0050789;GO:0006281;GO:0032501
