func_module_number	go_slim_pir
1	GO:0016192;GO:0051641
2	GO:0016192;GO:0051641
3	GO:0006457;GO:0050896
4	GO:0032502;GO:0050896;GO:0008283;GO:0050789;GO:0040011
5	GO:0006811
6	GO:0050896;GO:0006629;GO:0042445;GO:0006805;GO:0006082
7	GO:0048511;GO:0050789;GO:0050896
8	GO:0032502;GO:0050877
9	GO:0016043;GO:0016192;GO:0051640;GO:0022406;GO:0046903
10	GO:0006996
11	GO:0007154;GO:0065009;GO:0006811;GO:0016192;GO:0050789;GO:0015031
12	GO:0050789
13	GO:0016043;GO:0050789
14	GO:0050789
15	GO:0032502
16	GO:0016192;GO:0016050;GO:0051641;GO:0061024
17	GO:0007155;GO:0050789
18	GO:0050896;GO:0051604;GO:0050789;GO:0006457;GO:0022607
19	GO:0006869
20	GO:0040011;GO:0050789
21	GO:0006508;GO:0009057
22	GO:0050789
23	GO:0051234;GO:0051604;GO:0050789;GO:0006457;GO:0051641
24	GO:0006281;GO:0006266
25	GO:0022900;GO:0006119
26	GO:0015031
27	GO:0050789
28	GO:0050877;GO:0050789
29	GO:0009914;GO:0016192;GO:0050789;GO:0015031;GO:0046903
30	GO:0006865;GO:0015849
31	GO:0050896;GO:0050789;GO:0006914
32	GO:0006996
33	GO:0006793;GO:0006629;GO:0051604
34	GO:0043603;GO:0016192;GO:0019538;GO:0051641
35	GO:0006790;GO:0019538;GO:0009059
36	GO:0050896;GO:0006914
37	GO:0032502;GO:0006936;GO:0006996;GO:0050789;GO:0032989;GO:0022607
38	GO:0050896;GO:0050789
40	GO:0050896;GO:0050789
41	GO:0006508;GO:0009057
42	GO:0002376;GO:0050789
43	GO:0043062;GO:0050789;GO:0051179;GO:0045229
44	GO:0051234;GO:0051641
45	GO:0006412
46	GO:0032501;GO:0050896;GO:0007154;GO:0050789
47	GO:0008015
48	GO:0051234;GO:0007059;GO:0051276;GO:0050789;GO:0000280;GO:0051640;GO:0007049
49	GO:0006281;GO:0065009;GO:0006260;GO:0051276;GO:0050789
50	GO:0007155;GO:0022607
52	GO:0006936;GO:0065008;GO:0050789
53	GO:0050896;GO:0050789
54	GO:0006351
56	GO:0051258;GO:0007059;GO:0006996;GO:0031023;GO:0050789;GO:0065008
57	GO:0006508;GO:0009057
58	GO:0036211;GO:0006508;GO:0009057
59	GO:0032502;GO:0032501
60	GO:0006811;GO:0036211;GO:0007030;GO:0050789;GO:0006793
62	GO:0050896;GO:0050789;GO:0006508;GO:0015031;GO:0009057
63	GO:0008152
64	GO:0050896;GO:0050789
65	GO:0002376;GO:0007155
66	GO:0036211;GO:0006793
67	GO:0007059;GO:0051276;GO:0006281;GO:0050789
68	GO:0046864;GO:0050789
69	GO:0016070;GO:0050789;GO:0009057
70	GO:0050896;GO:0050789
71	GO:0007030;GO:0016192
72	GO:0050896;GO:0050789
73	GO:0032502;GO:0050896;GO:0050789;GO:0032501
74	GO:0032502;GO:0016043;GO:0050789
75	GO:0036211;GO:0007059;GO:0050789;GO:0000280;GO:0051276;GO:0006508;GO:0007049;GO:0009057
76	GO:0006996
77	GO:0032501;GO:0006996;GO:0032502
78	GO:0016043;GO:0006396;GO:0032196;GO:0050789;GO:0016070
79	GO:0032502;GO:0040011;GO:0050896;GO:0050789
80	GO:0015031
81	GO:0065003;GO:0006396;GO:0050789
82	GO:0036211
83	GO:0007155;GO:0050789
84	GO:0032502;GO:0016043
85	GO:0016070;GO:0042254;GO:0006396
86	GO:0006811
87	GO:0050789
88	GO:0006790;GO:0006793;GO:0006629
89	GO:0002376;GO:0036211;GO:0001775;GO:0050789;GO:0006793
90	GO:0007005;GO:0061024;GO:0015031
91	GO:0006793;GO:0006629
92	GO:0065008;GO:0050789
93	GO:0007049;GO:0065009;GO:0050789
94	GO:0032501;GO:0006996;GO:0050789;GO:0022607
95	GO:0022900;GO:0009117;GO:0007005;GO:0045333;GO:0065003
96	GO:0036211;GO:0006793;GO:0050789
97	GO:0006810;GO:0051641
98	GO:0000375;GO:0065003;GO:0016070
99	GO:0006351
100	GO:0006790;GO:0050789;GO:0043603
101	GO:0050789;GO:0032501;GO:0015669;GO:0065003;GO:0008152;GO:0006869
102	GO:0032502;GO:0050896;GO:0022607
104	GO:0007155
106	GO:0050896;GO:0050789
107	GO:0042254
108	GO:0016070;GO:0042254;GO:0006396
109	GO:0050896;GO:0009117;GO:0050789;GO:0032501;GO:0006112
110	GO:0065003;GO:0042254;GO:0006412
111	GO:0050789
112	GO:0032392;GO:0006260;GO:0006281;GO:0050789
113	GO:0065003;GO:0016070;GO:0006396;GO:0043412
114	GO:0065003;GO:0006457
115	GO:0051641;GO:0050789;GO:0015931
116	GO:0006790;GO:0006139;GO:0045333;GO:0043603;GO:0006082;GO:0006793
117	GO:0016070;GO:0006396;GO:0022607;GO:0043412
119	GO:0016043;GO:0016192;GO:0050789;GO:0065008;GO:0046903
120	GO:0006066;GO:0006082;GO:0006629;GO:0042445
121	GO:0051641;GO:0015931
122	GO:0065003;GO:0051641;GO:0051276
123	GO:0036211;GO:0051604
125	GO:0006790;GO:0006805;GO:0043603
126	GO:0006997;GO:0050789
127	GO:0032502;GO:0016050;GO:0050896;GO:0061024;GO:0016192;GO:0050789;GO:0051641;GO:0048284;GO:0065003
128	GO:0007154;GO:0016192;GO:0050789;GO:0006836;GO:0046903
129	GO:0009117;GO:1902600;GO:0065008
130	GO:0006508;GO:0009057
131	GO:0006520;GO:0006082;GO:0050789;GO:0009308
132	GO:0032502
133	GO:0016050;GO:0061024;GO:0016192;GO:0006836;GO:0051640;GO:0022406;GO:0048284;GO:0046903
134	GO:0032502;GO:0002376;GO:0050896;GO:0036211;GO:0001775;GO:0050789;GO:0044419;GO:0006793
135	GO:0002376;GO:0050896;GO:0036211;GO:0001775;GO:0050789;GO:0044419;GO:0006793
136	GO:0050789
137	GO:0050789
138	GO:0006457
139	GO:0032502;GO:0050789
140	GO:0016192;GO:0051641
141	GO:0007059;GO:0065003;GO:0006281;GO:0051276
142	GO:0022414;GO:0006281
143	GO:0022607
144	GO:0007005;GO:0061024;GO:0015031
145	GO:0000375;GO:0016070;GO:0050789
146	GO:0006811
147	GO:0016043;GO:0050789
148	GO:0007005;GO:0050896;GO:0050789
149	GO:0032501;GO:0065008;GO:0050789
150	GO:0016043
151	GO:0065009;GO:0050789
152	GO:0006996;GO:0050789;GO:0051179;GO:0006629
154	GO:0050896;GO:0050789
155	GO:0045333;GO:0006066;GO:0044238;GO:0006082
156	GO:0050789;GO:0050896;GO:0006629
157	GO:0016070;GO:0006396
158	GO:0032502;GO:0006354;GO:0050789;GO:0009057
160	GO:0050817;GO:0050878
161	GO:0050896;GO:0015849
162	GO:0016192;GO:0043473;GO:0022607;GO:0048753
163	GO:0006281;GO:0009059;GO:0006260;GO:0050789;GO:0016070
164	GO:0050896;GO:0006811;GO:0050789;GO:0051640;GO:0065008;GO:0022607
165	GO:0043603;GO:0006066;GO:0006629
166	GO:0008150
167	GO:0006412;GO:0050789
168	GO:0009117;GO:0050789
169	GO:0036211
170	GO:0051641;GO:0015931
171	GO:0032502;GO:0050789;GO:0032501
172	GO:0006996;GO:0031023;GO:0050789;GO:0022607
173	GO:0032502;GO:0032501
174	GO:0050789
175	GO:0050896;GO:0008643;GO:0050789
176	GO:0000375;GO:0016070;GO:0050789
178	GO:0050789
179	GO:0061024;GO:0016192;GO:0009057;GO:0016032;GO:0007032;GO:0006508;GO:0015031;GO:0044419;GO:0022607;GO:0006914
180	GO:0002376;GO:0050896;GO:0050789
181	GO:0051604
182	GO:0007031;GO:0006082;GO:0006629
183	GO:0050896;GO:0006508;GO:0009057
184	GO:0007059;GO:0051276;GO:0050789;GO:0022414;GO:0000280;GO:0007049
185	GO:0007031;GO:0006629;GO:0050789;GO:0051641;GO:0006869
186	GO:0006811
187	GO:0006457
188	GO:0050896;GO:1902600;GO:0050789
189	GO:0050896;GO:0061024
190	GO:0006730;GO:0065009;GO:0050789;GO:0007155
191	GO:0006091;GO:0009117;GO:0006082;GO:0005975
192	GO:0040011;GO:0002376;GO:0050896;GO:0050789
193	GO:0006354;GO:0006281
194	GO:0050789
195	GO:0036211
196	GO:0002376;GO:0050896;GO:0001816;GO:0050789;GO:0065003
197	GO:0044085
198	GO:0051640;GO:0065008;GO:0006810;GO:0043473;GO:0051641;GO:0048753
199	GO:0016070;GO:0065008;GO:0006412;GO:0050789
200	GO:0050789;GO:0006508;GO:0051180;GO:0051604
201	GO:0050789
202	GO:0050817;GO:0050896;GO:0051604;GO:0050789;GO:0050878;GO:0006508;GO:0007155;GO:0001775
203	GO:0051234;GO:0051641
204	GO:0006520;GO:0006082
205	GO:0051261;GO:0006996;GO:0051258;GO:0050789
206	GO:0016043
207	GO:0006996;GO:0022607
208	GO:0006508;GO:0009057
209	GO:0016070;GO:0006396;GO:0050789;GO:0009057
210	GO:0005975
211	GO:0022414;GO:0048511;GO:0050789
212	GO:0008150
213	GO:0002376;GO:0050896;GO:0001906;GO:0050789
214	GO:0050789
215	GO:0007154;GO:0016192;GO:0050789;GO:0006836;GO:0046903
216	GO:0050789;GO:0065009;GO:0006811
217	GO:0007005;GO:0050789;GO:0048285
219	GO:0032502;GO:0002376;GO:0050896;GO:0036211;GO:0001775;GO:0008283;GO:0050789;GO:0001816;GO:0044419;GO:0006793
220	GO:0036211;GO:0006793;GO:0050789
221	GO:0032502;GO:0007155;GO:0022607
222	GO:0002376;GO:0001775;GO:0006629;GO:0050789;GO:0006793
223	GO:0002376;GO:0050789
224	GO:0050789
225	GO:0032502;GO:0050789
226	GO:0032502;GO:0050896;GO:0050789;GO:0032501
227	GO:0016192;GO:0051641
228	GO:0032501;GO:0032502
229	GO:0016192;GO:0051641;GO:0050789;GO:0006914
230	GO:0006520;GO:0016070
231	GO:0043062;GO:0045229
232	GO:0016043;GO:0050789
233	GO:0015031
234	GO:0051276;GO:0050789;GO:0051641;GO:0006259;GO:0022607
235	GO:0050789;GO:0065008;GO:0006811
236	GO:0032502;GO:0050789
237	GO:0002376;GO:0050896;GO:0006996;GO:0050789;GO:0040011
238	GO:0050789
239	GO:0032501;GO:0050878;GO:0065009;GO:0050789
240	GO:0040011
241	GO:0065003;GO:0050789;GO:0006351
243	GO:0009059;GO:0050789;GO:0051276;GO:0051641;GO:0006259;GO:0016070;GO:0015931;GO:0009057
244	GO:0002376;GO:0050896;GO:0006811;GO:0050789;GO:0040011;GO:0044419
245	GO:0002376;GO:0050896;GO:0050789;GO:0051641;GO:0044419
246	GO:0006810;GO:0022607
247	GO:0002376;GO:0050896;GO:0050789;GO:0001816;GO:0044419
249	GO:0015849;GO:0006869
250	GO:0000375;GO:0016070
251	GO:0007155;GO:0022607
252	GO:0050896;GO:0050789
253	GO:0002376;GO:0050789
254	GO:0016070;GO:0065008;GO:0050789;GO:0009057
255	GO:0016043
256	GO:0032502;GO:0016043;GO:0009059;GO:0050789;GO:0016070
257	GO:0016192;GO:0051641
258	GO:0050789
259	GO:0002376;GO:0050789;GO:0007155;GO:0065003;GO:0001775
260	GO:0006914;GO:0007033;GO:0022607
261	GO:0065008;GO:0006869;GO:0061024
262	GO:0032502;GO:0050789
263	GO:0050789
264	GO:0006508;GO:0009057
265	GO:0007155;GO:0022607
266	GO:0006260;GO:0006281;GO:0050789;GO:0002376
268	GO:0032502;GO:0050789
269	GO:0006996;GO:0051641;GO:0022607
273	GO:0050789;GO:0008037
274	GO:0050789
275	GO:0007154;GO:0050789
276	GO:0050789
278	GO:0022607;GO:0050789;GO:0006351
279	GO:0051641;GO:0016043;GO:0007154;GO:0050789
280	GO:0051276
281	GO:0006996;GO:0051301;GO:0022607
282	GO:0006811
283	GO:0016192;GO:0016050;GO:0051641;GO:0061024
284	GO:0051640;GO:0006810;GO:0051641
285	GO:0036211;GO:0000375;GO:0016070;GO:0051604
286	GO:0050789;GO:0015031
287	GO:0009914;GO:0050789;GO:0032501;GO:0040007;GO:0006869;GO:0015833;GO:0046903
289	GO:0032502;GO:0032989;GO:0006996;GO:0022607
290	GO:0002376;GO:0050896;GO:0050789
291	GO:0006508;GO:0009057
292	GO:0016192;GO:0016050;GO:0051641
293	GO:0022414
294	GO:0006281;GO:0050789
295	GO:0016192;GO:0051641
296	GO:0007005;GO:0061024
297	GO:0050789;GO:0006351
298	GO:0050789
299	GO:0050896;GO:0061024;GO:0006066;GO:0050789;GO:0006629;GO:0051640;GO:0006997;GO:0006810;GO:0051641
300	GO:0002376;GO:0050789
301	GO:0036211
302	GO:0036211;GO:0050789
303	GO:0002376;GO:0050789;GO:0008037;GO:0065008;GO:0040011;GO:0022607
304	GO:0022607;GO:0016192;GO:0050789;GO:0006629;GO:0022411;GO:0051641;GO:0007033;GO:0006793;GO:0006914
305	GO:0022411;GO:0050789
306	GO:0050789;GO:0007155;GO:0022607
307	GO:0007155;GO:0022607
308	GO:0032502;GO:0008283;GO:0050789
309	GO:0032502;GO:0050789
311	GO:0036211;GO:0050789
312	GO:0006811
314	GO:0050789;GO:0065008;GO:0006811
316	GO:0006082;GO:0006629;GO:0042445
317	GO:0006810;GO:0051641
319	GO:0008150
320	GO:0050877;GO:0050896;GO:0065008;GO:0006811
321	GO:0050896;GO:0050789
322	GO:0051301;GO:0050789
323	GO:0006066;GO:0006629
324	GO:0042180
325	GO:0002376;GO:0050896;GO:0016192;GO:0050789;GO:0008037;GO:0044419
326	GO:0006936;GO:0050789
327	GO:0002376
328	GO:0016070;GO:0006396;GO:0043412
329	GO:0006936;GO:0050896;GO:0006811
330	GO:0032502;GO:0006996;GO:0050789
331	GO:0016192
332	GO:0032502;GO:0016043;GO:0050789;GO:0016049
333	GO:0050789
334	GO:0036211
335	GO:0006811;GO:0015931
336	GO:0001816;GO:0050789;GO:0006811
337	GO:0050896;GO:0050789
338	GO:0061024;GO:0006996;GO:0051703;GO:0050789;GO:0032501;GO:0065008;GO:0007155;GO:0051641;GO:0044085;GO:0022607
339	GO:0009117;GO:0050896;GO:0050789
341	GO:0043412
343	GO:0016070;GO:0006396;GO:0050789
344	GO:0006281;GO:0009059;GO:0006996;GO:0022411;GO:0006508;GO:0009057
345	GO:0006793;GO:0006508;GO:0006629;GO:0009057
347	GO:0006508;GO:0051604
348	GO:0006520;GO:0016070
349	GO:0051276;GO:0006259
350	GO:0009117;GO:0050789
351	GO:0006790;GO:0006520;GO:0006082
352	GO:0006520;GO:0006082
354	GO:0006629
355	GO:0009117
356	GO:0006091;GO:0009117;GO:0006082;GO:0005975
357	GO:0050789
358	GO:0065008;GO:0008015;GO:0050789;GO:0050886
359	GO:0006790;GO:0006066
360	GO:0006508;GO:0009057
363	GO:0006793;GO:0006629;GO:0051604
365	GO:0002376;GO:0001775
366	GO:0051606
367	GO:0007005;GO:0065003
368	GO:0006869
370	GO:0036211
371	GO:0040011;GO:0050789
372	GO:0032502
373	GO:0006112;GO:0005976
374	GO:0006811
375	GO:0006082;GO:0006629
376	GO:0002376;GO:0031640;GO:0050896;GO:0050789
378	GO:0005975
379	GO:0051606;GO:0050877
380	GO:0006811
382	GO:0008655;GO:0009117
383	GO:0036211;GO:0050896;GO:0050789
384	GO:0006629;GO:0006793;GO:0050789
386	GO:0006996
387	GO:0008152
389	GO:0050896;GO:0006066;GO:0006629;GO:0042180;GO:0042445;GO:0019748
390	GO:0022414;GO:0032502
