go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.004557   1,692 annotations READ: go_slim_results_R1_cpdb_0.7.txt 
301 IDs in all associations
func_module_number	
2	GO:0006811
3	GO:0006139;GO:0006793;GO:0043603;GO:0006790;GO:0006082
4	GO:0016070;GO:0065003;GO:0050789;GO:0009059
6	GO:0050896;GO:0032502;GO:0050789;GO:0032501;GO:0008283
7	GO:0046903;GO:0006836;GO:0007154;GO:0050789
8	GO:0032502;GO:0006793;GO:0006629;GO:0050789
9	GO:0007155;GO:0050896;GO:0050877
10	GO:0050896;GO:0032502;GO:0050789
11	GO:0050896;GO:0050789
12	GO:0050877
13	GO:0036211
14	GO:0016070;GO:0006260;GO:0009059
15	GO:0006281;GO:0050789
17	GO:0006281;GO:0051276;GO:0032502;GO:0007059;GO:0050789
18	GO:0036211
19	GO:0016050;GO:0061024;GO:0065003;GO:0016192;GO:0051641;GO:0006914;GO:0048284;GO:0050789
20	GO:0036211;GO:0050789
22	GO:0006281;GO:0051276;GO:0032502;GO:0002376;GO:0009059
23	GO:0006260;GO:0006281;GO:0050789
24	GO:0006811;GO:0050789
25	GO:0006281;GO:0009059
26	GO:0016070;GO:0000375;GO:0050789;GO:0015669
27	GO:0008152;GO:0050789
29	GO:0016070;GO:0006396
31	GO:0006996;GO:0032502;GO:0032501
32	GO:0016070;GO:0006396
33	GO:0050789
34	GO:0050789
35	GO:0022607
36	GO:0050896;GO:0007005;GO:0050789
38	GO:0036211;GO:0050896;GO:0050789
39	GO:0050896;GO:0050789
40	GO:0044419;GO:0050896;GO:0002376;GO:0050789
42	GO:0006836;GO:0016192;GO:0022406;GO:0051640
43	GO:0007059;GO:0050789;GO:0022607;GO:0000280;GO:0007049
44	GO:0036211;GO:0050789
45	GO:0050789
46	GO:0006629
47	GO:0050896;GO:0050789
48	GO:0006260;GO:0006281;GO:0009059
49	GO:0036211;GO:0006793;GO:0050789
50	GO:0007154;GO:0061024;GO:0016192;GO:0050877;GO:0050789;GO:0022607;GO:0007155;GO:0065008;GO:0044085
51	GO:0016043
52	GO:0016043;GO:0050789
