go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.007807   3,203 annotations READ: go_slim_results_M1_string_0.1.txt 
492 IDs in all associations
func_module_number	
118	GO:0022607;GO:0051301;GO:0050789
120	GO:0015931
121	GO:0006865;GO:0015849
122	GO:0022607;GO:0050789;GO:0006996
123	GO:0043062;GO:0045229;GO:0050789;GO:0007155
124	GO:0050789;GO:0006354
125	GO:0009057;GO:0065008;GO:0016070;GO:0050789
126	GO:0009116;GO:0009117
127	GO:0050789
128	GO:0050817;GO:0050789;GO:0050878
129	GO:0048753;GO:0051640;GO:0006810;GO:0043473;GO:0065008;GO:0051641
130	GO:0050789;GO:0051276;GO:0006281;GO:0006260
131	GO:0009057;GO:0016070;GO:0050789
132	GO:0036211
133	GO:0065008;GO:0006811;GO:0008152
134	GO:0006351
135	GO:0065003;GO:0002376;GO:0050789;GO:0001775
136	GO:0051641;GO:0015931
137	GO:0036211;GO:0009057;GO:0007049;GO:0050789;GO:0006508;GO:0022414
138	GO:0022607;GO:0006996
139	GO:0051641;GO:0051234
140	GO:0032502;GO:0006936;GO:0022607;GO:0006996;GO:0032989;GO:0050877;GO:0050879
141	GO:0051641;GO:0006810;GO:0006996
142	GO:0015031
143	GO:0050789;GO:0007154
144	GO:0009117
145	GO:0008037;GO:0022414
146	GO:0043603;GO:0006629
147	GO:0002376;GO:0050789
148	GO:0016192;GO:0015031
149	GO:0051261
150	GO:0022607;GO:0050789;GO:0006996
151	GO:0036211;GO:0009057;GO:0006508
152	GO:0008152;GO:0015669
153	GO:0006396;GO:0032502;GO:0016043;GO:0050789;GO:0032196;GO:0022414
154	GO:0006811;GO:0006936;GO:0008015;GO:0050789;GO:0007154;GO:0065008
155	GO:0006996
156	GO:0000280;GO:0007049;GO:0022607;GO:0051276;GO:0007059;GO:0022414
157	GO:0036211;GO:0009057;GO:0006508
158	GO:0032502
159	GO:0006865;GO:0015849
160	GO:0016043;GO:0065008;GO:0006811;GO:0050896
161	GO:0022607;GO:0006996
162	GO:0044419;GO:0002376;GO:0050789;GO:0050896;GO:0001906
163	GO:0065003;GO:0006996
164	GO:0009059;GO:0002376;GO:0006266;GO:0006281
166	GO:0043412;GO:0016070;GO:0006396
168	GO:0044419;GO:0002376;GO:0043062;GO:0022411;GO:0045229;GO:0050896
169	GO:0032501
170	GO:0008152
171	GO:0044419;GO:0002376;GO:0050789;GO:0007155;GO:0050896;GO:0001906
172	GO:0032392;GO:0006281;GO:0006260
173	GO:0050789
174	GO:0032502;GO:0050789;GO:0050896
175	GO:0050789
176	GO:0006629;GO:0051604;GO:0006793
177	GO:0009059;GO:0006281;GO:0006260
178	GO:0051641;GO:0006810
179	GO:0006629
180	GO:0061024;GO:0051703;GO:0022607;GO:0050789;GO:0007154;GO:0007155;GO:0065008;GO:0050877;GO:0051641
182	GO:0006629;GO:0006793
183	GO:0050789
184	GO:0050789;GO:0050896
185	GO:0015031;GO:0061024;GO:0007005
186	GO:0036211;GO:0016043;GO:0050789;GO:0006281
187	GO:0050789;GO:0050896
188	GO:0022607;GO:0051640;GO:0006810;GO:0006996
189	GO:0007155;GO:0002376
190	GO:0065003;GO:0016070;GO:0006396
191	GO:0006836;GO:0016192;GO:0050789;GO:0050896
192	GO:0022607
193	GO:0022406;GO:0016192;GO:0046903;GO:0016043;GO:0051640
194	GO:0036211
195	GO:0008643;GO:0042044;GO:0015791
196	GO:0043603;GO:0042445;GO:0006508;GO:0006518;GO:0051604
197	GO:0051640;GO:0051234
198	GO:0016192;GO:0050789;GO:0046903
199	GO:0050789;GO:0006351;GO:0050896
200	GO:0036211;GO:0016043
201	GO:0022414;GO:0006281
202	GO:0032502
203	GO:0006865;GO:0032501;GO:0015849;GO:0050789;GO:0065008
205	GO:0032502;GO:0032989;GO:0022607;GO:0006996
206	GO:0006811
208	GO:0009057;GO:0006508
210	GO:0042180
213	GO:0031640;GO:0050896
214	GO:0015031
215	GO:0036211
216	GO:0050789
218	GO:0050789;GO:0050896
219	GO:0051604
222	GO:0016043;GO:0065008;GO:0050789
223	GO:0036211;GO:0050789;GO:0006281
224	GO:0006936
225	GO:0036211;GO:0050789
226	GO:0032502;GO:0016043;GO:0050789
227	GO:0050789
228	GO:0046903;GO:0032501;GO:0015833;GO:0050789;GO:0009914;GO:0040007
229	GO:0050789
230	GO:0032502;GO:0050877
231	GO:0050789;GO:0032501
232	GO:0043412;GO:0016070;GO:0006396
233	GO:0002376;GO:0050896
234	GO:0050789
235	GO:0009117
236	GO:0006629;GO:0050789;GO:0051179
237	GO:0008150
238	GO:0006869
239	GO:0042440
240	GO:0016192;GO:0051641
242	GO:0050789
243	GO:0050789
244	GO:0006520;GO:0006082
246	GO:0043062;GO:0045229
247	GO:0050789;GO:0040011
248	GO:0006793;GO:0016070;GO:0006396
252	GO:0008283;GO:0002376;GO:0050789;GO:0001775
254	GO:0051703;GO:0032501
255	GO:0050789;GO:0050896
256	GO:0065009;GO:0050789
257	GO:0050789;GO:0040011;GO:0050896
259	GO:0061024
262	GO:0015833;GO:0006869
263	GO:0002376;GO:0050789;GO:0001906
267	GO:0008152
268	GO:0050896
269	GO:0007155
271	GO:0051258;GO:0006996
272	GO:0016192;GO:0051641;GO:0046903
273	GO:0005975
276	GO:0042440
279	GO:0022414
280	GO:0032502
281	GO:0002376;GO:0001775
282	GO:0036211
284	GO:0006629
287	GO:0051258;GO:0006996
288	GO:0006520;GO:0006082
291	GO:0006811
294	GO:0006810
297	GO:0050789
298	GO:0032502;GO:0050789
300	GO:0036211
301	GO:0036211;GO:0050789;GO:0050896
302	GO:0036211;GO:0009057;GO:0006508
303	GO:0006351
311	GO:0006066;GO:0006629;GO:0043603
312	GO:0065008;GO:0006811
315	GO:0016070;GO:0006520
316	GO:0008150
317	GO:0050789
320	GO:0006520;GO:0006082
321	GO:0050789
322	GO:0006790;GO:0019538;GO:0009059
324	GO:0050789
325	GO:0006520;GO:0006082
326	GO:0050789;GO:0006281
327	GO:0016070;GO:0050789;GO:0000375
328	GO:0032502;GO:0016043
329	GO:0036211
330	GO:0016050;GO:0016192;GO:0061024;GO:0048284;GO:0051641
331	GO:0016192;GO:0050789;GO:0046903
332	GO:0006810
337	GO:0006082
338	GO:0065009;GO:0050789
339	GO:0019538;GO:0009059
340	GO:0006811;GO:0015931
341	GO:0006790;GO:0006520;GO:0006082;GO:0006766
343	GO:0050789
346	GO:0006811;GO:0050896
347	GO:0065008;GO:0050789
349	GO:0016043
350	GO:0006520;GO:0050789;GO:0006082;GO:0009308
351	GO:0050789
352	GO:0008152
353	GO:0006281
355	GO:0050789;GO:0050896
357	GO:0006629
358	GO:0043412;GO:0016070;GO:0006396
364	GO:0065003
365	GO:0009308
367	GO:0032502;GO:0050817;GO:0050789;GO:0051604;GO:0065009
368	GO:0032502
369	GO:0036211;GO:0006139;GO:0043603;GO:0009057;GO:0006793;GO:0006790
374	GO:0065003
375	GO:0036211
376	GO:0032502;GO:0002376;GO:0050789;GO:0032501
377	GO:0036211;GO:0032502;GO:0050789
379	GO:0001816;GO:0050789
380	GO:0051641;GO:0051640;GO:0006810
383	GO:0006810
384	GO:0019538;GO:0006790;GO:0009059;GO:0050789;GO:0005976
386	GO:0006629
387	GO:0008152
388	GO:0006259;GO:0022414;GO:0051276
391	GO:0065008;GO:0006811;GO:0050789
396	GO:0044419;GO:0002376;GO:0050896
398	GO:0051604;GO:0006508
399	GO:0050789
400	GO:0016070;GO:0000375
401	GO:0065003;GO:0000375
402	GO:0006836;GO:0016192;GO:0046903;GO:0050789;GO:0007154
403	GO:0016050;GO:0061024;GO:0048284;GO:0050789;GO:0065003
404	GO:0036211;GO:0032502;GO:0006793;GO:0051606;GO:0050789;GO:0007154;GO:0065009
405	GO:0006139;GO:0006629;GO:0043603;GO:0006790;GO:0006793;GO:0015849;GO:0006869
406	GO:0051641;GO:0015931
407	GO:0044419;GO:0002376;GO:0050896
410	GO:0050896
412	GO:0050789
413	GO:0032502;GO:0050789;GO:0022414
414	GO:0006869;GO:0050789
415	GO:0031640
417	GO:0044419;GO:0040011;GO:0050896
421	GO:0009225;GO:0005975
424	GO:0032502;GO:0050789;GO:0050896
425	GO:0016043
427	GO:0050789
428	GO:0006811
431	GO:0022414;GO:0032501
432	GO:0050789;GO:0032501
434	GO:0048469;GO:0022414;GO:0006810
437	GO:0002376;GO:0050789;GO:0050896
438	GO:0007155
439	GO:0006996
441	GO:0036211;GO:0006793;GO:0050789
447	GO:0031023;GO:0022607;GO:0050789;GO:0006996
453	GO:0006811
454	GO:0065009;GO:0050789
455	GO:0007155;GO:0022406
456	GO:0016070;GO:0000375
457	GO:0006996
458	GO:0061024;GO:0007005
460	GO:0051640;GO:0050789;GO:0051276;GO:0007059;GO:0051234
463	GO:0006629
467	GO:0042180;GO:0006766;GO:0050896
468	GO:0006790;GO:0006520;GO:0006082
470	GO:0022607;GO:0006996
471	GO:0001906;GO:0002376;GO:0050789;GO:0050896
473	GO:0036211;GO:0050789
475	GO:0006811
476	GO:0015891
478	GO:0050789
480	GO:0036211
487	GO:0006790
490	GO:0016043
491	GO:0050789
492	GO:0043412;GO:0016070;GO:0006396
493	GO:0050789;GO:0050896
494	GO:0001816;GO:0050789;GO:0050896
497	GO:0043062;GO:0009059;GO:0022607;GO:0045229;GO:0006996
498	GO:0006629;GO:0006805;GO:0050896
499	GO:0036211
507	GO:0032502;GO:0016050
509	GO:0006811
511	GO:0036211
512	GO:0043412;GO:0016070;GO:0050789
515	GO:0036211
516	GO:0050896
520	GO:0032502;GO:0032501
521	GO:0051301;GO:0050789
523	GO:0050789
524	GO:0046903;GO:0050886;GO:0015833;GO:0050789;GO:0009914
525	GO:0009057;GO:0006508
526	GO:0036211;GO:0006520;GO:0006082;GO:0050896
527	GO:0050789
528	GO:0050789
529	GO:0006112;GO:0005976
536	GO:0050896
537	GO:0050789
543	GO:0006996
551	GO:0002376;GO:0050789;GO:0040011;GO:0050896
556	GO:0032502;GO:0016043
557	GO:0050789
558	GO:0050789
559	GO:0009059
562	GO:0000375
563	GO:0065003
564	GO:0009057;GO:0016070;GO:0050789
565	GO:0016050;GO:0016192;GO:0051641
566	GO:0016192;GO:0015031
567	GO:0015849
568	GO:0006811;GO:0050789
571	GO:0016043;GO:0065008;GO:0050789
575	GO:0036211
583	GO:0006811
587	GO:0048511
589	GO:0006996
590	GO:0050789
595	GO:0019538;GO:0009059;GO:0050789
598	GO:0002376;GO:0050789;GO:0040011;GO:0050896
599	GO:0002376;GO:0001775;GO:0009059;GO:0050789;GO:0051276;GO:0006259;GO:0050896
600	GO:0036211;GO:0050789
601	GO:0006790;GO:0019538;GO:0009059
604	GO:0006520;GO:0006082
607	GO:0016043
610	GO:0043412;GO:0016070;GO:0050789;GO:0006396
611	GO:0036211;GO:0051604
613	GO:0009057;GO:0016070;GO:0050789
614	GO:0006811
615	GO:0050789
617	GO:0006996
618	GO:0065008;GO:0050886
619	GO:0015849
620	GO:0051604;GO:0006508
621	GO:0000280;GO:0051640;GO:0022607;GO:0051276;GO:0007059;GO:0051234
622	GO:0051641;GO:0006810
623	GO:0006996
624	GO:0006629;GO:0006793
625	GO:0006066;GO:0006629;GO:0042445
628	GO:0051606;GO:0050877
