go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.001874     488 annotations READ: go_slim_results_K1_humanbase_0.6.txt 
80 IDs in all associations
func_module_number	
1	GO:0006936;GO:0032502
2	GO:0006508;GO:0016192;GO:0009057;GO:0051641
5	GO:0016192;GO:0016043
7	GO:0002376;GO:0044419;GO:0050896
9	GO:0050896
12	GO:0006457;GO:0051604
13	GO:0050789
17	GO:0006629;GO:0006066
18	GO:0016070;GO:0042254;GO:0006396;GO:0006412
19	GO:0050789
21	GO:0051640;GO:0048753;GO:0051641;GO:0006810
23	GO:0016070;GO:0050789;GO:0032502;GO:0050896
24	GO:0032502;GO:0006996
26	GO:0050789
28	GO:0022900;GO:0009117;GO:0006119
29	GO:0006790;GO:0006066
30	GO:0002376;GO:0050896;GO:0016032;GO:0050789;GO:0044419
31	GO:0050789;GO:0032502;GO:0002376;GO:0001775
32	GO:0022900;GO:0006412;GO:0006119;GO:0009117
36	GO:0006790;GO:0043603
38	GO:0006396
40	GO:0065003;GO:0006412
43	GO:0016070;GO:0009059;GO:0016043;GO:0050789
46	GO:0050789
49	GO:0016070;GO:0006412;GO:0006520
51	GO:0016070;GO:0000375
57	GO:0032502
60	GO:0006869;GO:0008152
61	GO:0050789
62	GO:0045229;GO:0043062;GO:0050789;GO:0050896
63	GO:0002376;GO:0050896;GO:0001775;GO:0032502;GO:0050789;GO:0007155
64	GO:0006793;GO:0006629
66	GO:0022900;GO:0009117;GO:0006119
67	GO:0065008;GO:0007033
68	GO:0051234;GO:0051641;GO:0007031
70	GO:0006508;GO:0009057;GO:0036211
72	GO:0009059
73	GO:0002376;GO:0050789;GO:0050896
75	GO:0008283;GO:0002376;GO:0001775;GO:0050789;GO:0007155
76	GO:0050789;GO:0065009
77	GO:0050789;GO:0002376;GO:0001775
79	GO:0016070;GO:0006396
80	GO:0009059
83	GO:0006396;GO:0050789
84	GO:0050896;GO:0002376;GO:0016032;GO:0050789;GO:0001816;GO:0044419;GO:0007155
85	GO:0044419;GO:0050789;GO:0050896;GO:0002376
86	GO:0006996
90	GO:0007049;GO:0051276;GO:0006281
91	GO:0050789;GO:0050896
93	GO:0016070;GO:0050789
94	GO:0050896
96	GO:0050789;GO:0050896
97	GO:0050789
99	GO:0050789
103	GO:0016070;GO:0042254;GO:0006396;GO:0065003
104	GO:0042254
110	GO:0016070;GO:0000375
113	GO:0050789;GO:0022607
116	GO:0007049;GO:0051276;GO:0051234;GO:0007059;GO:0051640;GO:0050789;GO:0000280
117	GO:0007049;GO:0051276;GO:0007059;GO:0050789;GO:0000280
118	GO:0016192;GO:0016050;GO:0051641
119	GO:0015031
121	GO:0051276;GO:0006259;GO:0009059;GO:0050789;GO:0051641;GO:0044085
122	GO:0016070;GO:0000375;GO:0015931
127	GO:0016070
128	GO:0050789;GO:0032502
129	GO:0050896
131	GO:0007049;GO:0051276;GO:0007059;GO:0050789;GO:0006260;GO:0000280
132	GO:0007049;GO:0051276;GO:0050789;GO:0006260;GO:0006281
135	GO:0006412
136	GO:0032502
138	GO:0051179;GO:0051276;GO:0050789
139	GO:0006281
141	GO:0044419;GO:0050896
144	GO:0042254
150	GO:0016070;GO:0042254;GO:0006396
151	GO:0009059;GO:0042254;GO:0006396
152	GO:0002376;GO:0001775
153	GO:0002376;GO:0001775;GO:0050896;GO:0050789;GO:0001816;GO:0044419;GO:0040011;GO:0016192
