func_module_number	lst
46	GO:0090174;GO:0061025;GO:0006906;GO:0048284;GO:0016050;GO:0061024;GO:0140056;GO:0022406;GO:0048278;GO:0140029;GO:0006887;GO:0016079;GO:0045055;GO:0099643;GO:0007269;GO:0099504;GO:0099003;GO:0140352;GO:0032940;GO:0006836
47	GO:0016072;GO:0034475;GO:0006364;GO:0034472;GO:0071027;GO:0022613;GO:0042254;GO:0071025;GO:0016071;GO:0031123;GO:0006401
48	GO:0060326;GO:0006935;GO:0042330;GO:0030593;GO:0071621;GO:0070098;GO:1990266;GO:1990868;GO:1990869;GO:0097530;GO:0097529;GO:0030595;GO:0050900;GO:0007186;GO:0006954;GO:0019221;GO:0071345;GO:0034097;GO:1901652;GO:0048247;GO:0072676;GO:0071674;GO:0002548;GO:0071347;GO:0061844;GO:0070555;GO:0071346;GO:0048245;GO:0070374;GO:0034341;GO:0072677;GO:0019730;GO:0071356;GO:0006959;GO:0034612;GO:0070372;GO:0070371
49	GO:0098660;GO:0034220;GO:0098662;GO:0030001;GO:0098655;GO:0001508;GO:0034765;GO:0006814;GO:0099587;GO:0098659;GO:0006812;GO:0043269;GO:0086001;GO:0034762;GO:0086010;GO:0003012
50	GO:0042254;GO:0042273;GO:0016072;GO:0006364
51	GO:0002181;GO:0006412;GO:0042254;GO:0016072;GO:0006364;GO:0042274;GO:0022613;GO:0140694
52	GO:0006487;GO:0033365;GO:0006486;GO:0043413;GO:0009101;GO:0045048
53	GO:0045109;GO:0045104;GO:0045103;GO:0097435;GO:0030855
54	GO:0015711;GO:0046942;GO:0015849;GO:0098739
55	GO:0016236;GO:1904903;GO:1904896;GO:0006914;GO:0061919;GO:0007032;GO:0046753;GO:0031468;GO:0061952;GO:0035891;GO:0019076;GO:0007040;GO:0080171;GO:0036258;GO:0036257;GO:1902774;GO:0061640;GO:0046761;GO:0000281;GO:0032506;GO:0007033;GO:1902410;GO:0071763;GO:0001778;GO:0032510;GO:0016050;GO:0006998;GO:0071709;GO:0039702;GO:0044091
56	GO:0016071;GO:0008380;GO:0006397;GO:0000377;GO:0000398;GO:0000375;GO:1903311;GO:0043484;GO:1903312;GO:0050684
