go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.005161   2,006 annotations READ: go_slim_results_M1_cpdb_0.2.txt 
327 IDs in all associations
func_module_number	
1	GO:0005975;GO:0006082;GO:0009117
2	GO:0006629
3	GO:0050789;GO:0022406;GO:0051640;GO:0007154;GO:0048284;GO:0061024;GO:0016050;GO:0006836;GO:0046903;GO:0016192
4	GO:0050789;GO:0016070;GO:0006412
5	GO:0016070;GO:0000375;GO:0065003
6	GO:0050789;GO:0050896;GO:0022607;GO:0007033;GO:0006914
7	GO:0050789;GO:0050896
8	GO:0036211;GO:0009059
10	GO:0022406;GO:0016043;GO:0051640;GO:0016192
12	GO:0050789;GO:0036211;GO:0050896;GO:0050817;GO:0001775;GO:0032502;GO:0050878;GO:0006793;GO:0002376
13	GO:0006412;GO:0042254
16	GO:0050789;GO:0002376
17	GO:0050789;GO:0050896;GO:0006351
18	GO:0050789;GO:0050896
19	GO:0006119;GO:0009117;GO:0022900
20	GO:0050789;GO:0050896;GO:0001816;GO:0044419;GO:0002376
21	GO:0050789;GO:0050896
22	GO:0050789
24	GO:0050789;GO:0050896;GO:0050878;GO:0050817
25	GO:0050789;GO:0051261;GO:0006996;GO:0065008
26	GO:0050789;GO:0065009
28	GO:0050789
29	GO:0050789;GO:0006508;GO:0009057
30	GO:0036211;GO:0050789;GO:0006351;GO:0050896;GO:0032502;GO:0065009;GO:0048511
32	GO:0050896;GO:0015031
33	GO:0050789;GO:0051258;GO:0006996;GO:0031023
36	GO:0050789;GO:0032502;GO:0050896
37	GO:0050896;GO:0006508;GO:0009057
38	GO:0006412
39	GO:0050789
40	GO:0050789;GO:0040011;GO:0050896;GO:0044419;GO:0002376
41	GO:0016070;GO:0006396;GO:0042254
42	GO:0016192
43	GO:0022607;GO:0032502;GO:0032501
44	GO:0007029;GO:0015031
45	GO:0006810;GO:0007005;GO:0051641;GO:0061024
46	GO:0022607;GO:0050789
47	GO:0036211;GO:0009059
48	GO:0006281;GO:0007059
49	GO:0050789;GO:0032502;GO:0050896;GO:0032501
50	GO:0050789;GO:1902600;GO:0065008;GO:0006914
51	GO:0006811
53	GO:0050789;GO:0015833;GO:0032501;GO:0046903;GO:0009914
54	GO:0006811
55	GO:0016070;GO:0006396;GO:0042254;GO:0009057
56	GO:0050789;GO:0065008;GO:0016070;GO:0009057
57	GO:0045229;GO:0043062
58	GO:0036211
59	GO:0006793
60	GO:0050789;GO:0006811;GO:0006936;GO:0065008
61	GO:0050789;GO:0050896;GO:0006457;GO:0065009;GO:0044419;GO:0002376
62	GO:0016070;GO:0006412;GO:0042254
63	GO:0051641;GO:0016192
64	GO:0006996;GO:0032501
65	GO:0045229;GO:0043062
