func_module_number	lst
1	GO:0006897;GO:0098657;GO:0072583;GO:0006898;GO:0048268;GO:0006892;GO:0140238;GO:0048488;GO:0036465;GO:0099003;GO:0016197
2	GO:0051123;GO:0070897;GO:0006352;GO:0060261;GO:2000144;GO:0006367;GO:0060260;GO:0042789
3	GO:0007186;GO:0007188;GO:0007193;GO:0007189;GO:1903350;GO:1903351;GO:0071869;GO:0071867;GO:0071868;GO:0071870;GO:0007187;GO:0007212;GO:0060158;GO:0007213;GO:1901698;GO:0007200
4	GO:0140053;GO:0032543;GO:0006412;GO:0000959;GO:0070129;GO:0062125
5	GO:0098656;GO:0006820
6	GO:0000377;GO:0000398;GO:0000375;GO:0006397;GO:0008380;GO:0016071;GO:0000245;GO:0022618;GO:0071826
8	GO:0009100;GO:0009101;GO:1901137;GO:0070085;GO:0043413;GO:0006486
9	GO:0061919;GO:0006914;GO:0016236;GO:0000045;GO:1905037;GO:0007033;GO:0010506;GO:0044804;GO:0016241;GO:0042594
10	GO:0009124;GO:0009123;GO:0055086;GO:0009156;GO:0009168;GO:0006753;GO:0009127;GO:0009161;GO:1901293;GO:0009117;GO:0009165;GO:0009167;GO:0009126;GO:0046112;GO:0006177;GO:0090407
11	GO:0002221;GO:0002758;GO:0002218;GO:0002833;GO:0045089;GO:0002831;GO:0031349;GO:0002224;GO:0031347;GO:0032103;GO:0045088;GO:0002757;GO:0002253;GO:0140895;GO:0045087;GO:0002764;GO:0002237;GO:0050778;GO:0050776;GO:0032481;GO:0002752;GO:0032606;GO:0032479;GO:0001817;GO:0007249;GO:0001816;GO:0071219;GO:0002220;GO:0009617;GO:0001819;GO:0071216;GO:0002753;GO:0032608;GO:0032648;GO:0034142;GO:0032496;GO:0032755;GO:0032675;GO:0032635
13	GO:1905168;GO:0045911;GO:0010569;GO:2000781;GO:0051052;GO:1902455;GO:0000018;GO:0051054;GO:0045739;GO:2000779;GO:0000724
14	GO:0140467
15	GO:0141091;GO:0007178;GO:0060395;GO:0030509;GO:0071772;GO:0071773;GO:0071363;GO:0060390;GO:0070848;GO:0090092;GO:0007167;GO:0032924;GO:0090100;GO:0060391;GO:0007179;GO:0071560;GO:0071559;GO:0045597;GO:0032925;GO:0003206;GO:0060485;GO:0007389;GO:0003205;GO:0060411;GO:0001837;GO:0002062;GO:0003279;GO:0090101;GO:0045667;GO:0003197;GO:0051216;GO:0003007;GO:0009887
17	GO:0016567;GO:0032446;GO:0070647;GO:0043687;GO:0000209
18	GO:0016255
19	GO:0002181;GO:0006412;GO:0042254;GO:0022613
20	GO:0045333;GO:0009060;GO:0006091;GO:0015980;GO:0006119;GO:0022900;GO:0022904;GO:0019646;GO:0042773;GO:0042775;GO:0006754;GO:0009145;GO:0009206
21	GO:0048193;GO:0006888;GO:0006900;GO:0090114;GO:0007030
22	GO:0007264;GO:0051056
23	GO:0018149;GO:0030216
24	GO:0007597;GO:0010572
25	GO:0016197;GO:0032456;GO:0042147;GO:0098876;GO:0016482;GO:0016236
26	GO:0031341;GO:0001912;GO:0002475;GO:0002708;GO:0031343;GO:0002705;GO:0002484;GO:0002486;GO:0019883;GO:0001910
29	GO:0030036;GO:0030029;GO:0007015;GO:0097435;GO:0030048;GO:0030834;GO:0030042;GO:0045010;GO:0110053;GO:0030050;GO:1901879;GO:0099515;GO:0032970
31	GO:0010498;GO:0051603;GO:0043161;GO:0019941;GO:0043632;GO:0006511;GO:1903050;GO:0061136
32	GO:0000165;GO:0007254;GO:0043408;GO:0043506;GO:0046328;GO:0038066;GO:0043405;GO:0043410;GO:0043507
33	GO:0036297;GO:0006974;GO:0007059;GO:0006281;GO:0000712;GO:0051383
34	GO:0003012;GO:0006936;GO:0061061;GO:0030239;GO:0007517;GO:0055008;GO:0090257;GO:0060415;GO:0048644;GO:0006937;GO:0045214;GO:0055010
35	GO:0000226;GO:0007098;GO:0031023;GO:0140694;GO:0007051;GO:0060271;GO:0044782;GO:0051225;GO:0046785;GO:0007020;GO:0032886;GO:0007099;GO:0120031;GO:0031109
36	GO:0001912;GO:0031343;GO:0001910;GO:0031341;GO:0006968;GO:0002223;GO:1990840;GO:1990858
37	GO:0005977;GO:0044042;GO:0006112;GO:0005976;GO:0005975
38	GO:0042254;GO:0006364;GO:0016072;GO:0022613;GO:0042273
39	GO:0090174;GO:0061025;GO:0006906;GO:0048284;GO:0016050;GO:0140056;GO:0022406;GO:0048278;GO:0061024;GO:0006887;GO:0140029;GO:0048193;GO:0140352;GO:0032940;GO:0046903;GO:0051640;GO:0045055;GO:0099643;GO:0007269;GO:0016079;GO:0006836;GO:0023061;GO:0006886
40	GO:0140053
41	GO:0016055;GO:0060070;GO:0035567;GO:0030111;GO:0045165;GO:0060828;GO:0030178;GO:0030177;GO:0032526;GO:0071300;GO:2000050;GO:0060071;GO:0009887;GO:0009790;GO:0001654;GO:0043010;GO:0150063;GO:0048880;GO:0090090;GO:0007423;GO:0007389;GO:1904948
42	GO:0035249;GO:0050804;GO:0099177
43	GO:0097191;GO:0008625;GO:0043122;GO:0043123;GO:0014059;GO:0007249
44	GO:0070972;GO:0045047;GO:0072599;GO:0006613
45	GO:0000122;GO:1902893;GO:0061614;GO:1902895;GO:2000628;GO:2000630;GO:0018193;GO:0001666;GO:0036293;GO:0010586;GO:0018205;GO:0070482;GO:0009628;GO:0070848;GO:0071363;GO:0071560;GO:0071559;GO:0007623;GO:0016925;GO:0007179;GO:0033993;GO:0045597;GO:0048511;GO:0072359;GO:1901701;GO:0008284;GO:0017015;GO:1903844;GO:0045765;GO:0097190;GO:0034599;GO:1901342;GO:0048646;GO:0090287;GO:0006974;GO:0033233;GO:0006979;GO:0001944;GO:0141091;GO:0060395;GO:0007178;GO:0030099;GO:0062197;GO:0045648;GO:0007167;GO:0001568;GO:0001525;GO:0072332;GO:0035295;GO:0014070;GO:0030097;GO:0042771;GO:0009725;GO:0048514;GO:0045646;GO:0090092
46	GO:0007007;GO:0007005;GO:0007006;GO:0070585;GO:0006839;GO:0006626;GO:0072655;GO:0090151;GO:0042407;GO:0006605
47	GO:0030198;GO:0043062;GO:0045229;GO:0030199;GO:0001568
48	GO:0006383;GO:0042797;GO:0009304;GO:0006360
49	GO:0042730;GO:1900047;GO:0030195;GO:0050819;GO:0030193;GO:1900046;GO:0050818;GO:0007596;GO:0061045;GO:0050817;GO:0007599;GO:0051917;GO:1903035;GO:0050878;GO:0031639;GO:0042060;GO:0009611
50	GO:0034728
52	GO:0048210;GO:0006511
53	GO:0007249;GO:0043122;GO:1901652;GO:0034097;GO:0043123;GO:0071345;GO:0019221;GO:0033209;GO:0045087;GO:0038061;GO:0071356;GO:0031347;GO:0050776;GO:0034612;GO:0006954;GO:0031401;GO:0045088;GO:1903320;GO:1901873;GO:0031396;GO:0031349;GO:0002831;GO:0032103;GO:0045089;GO:0002218;GO:0002833;GO:0051090;GO:0050778;GO:0002764;GO:0002221;GO:0002253;GO:0002758;GO:0002757
54	GO:0006412;GO:0002181;GO:0042254;GO:0022613;GO:0042274;GO:0016072
56	GO:0019221;GO:0071345;GO:0007259;GO:1901652;GO:0034097;GO:0097696;GO:0007169;GO:0007167;GO:0043434;GO:0071375;GO:0018108;GO:0018212;GO:0032870;GO:0009725;GO:1901699;GO:0071378;GO:0060396;GO:0060416;GO:1901701;GO:0060397;GO:1901698;GO:0008284;GO:0046425;GO:0071352;GO:0038110;GO:0008286;GO:1904892;GO:0070669;GO:0035723;GO:0070672;GO:0071350;GO:0046649;GO:0042325;GO:0042110;GO:0045321;GO:0018193;GO:0071355;GO:0038113;GO:0032869;GO:0071104;GO:0001932;GO:0032868;GO:0030097;GO:0050730
57	GO:0006418
58	GO:0014905;GO:0014908
60	GO:1903513;GO:0030970;GO:0036503;GO:0032527
