func_module_number	go_slim_pir
193	GO:0006793;GO:0036211
194	GO:0050789;GO:0050896
195	GO:0006793;GO:0050896;GO:0036211
197	GO:0050789;GO:0050896
198	GO:0002376;GO:0050896
199	GO:0050789;GO:0022607;GO:0007155
200	GO:0009117
201	GO:0050879;GO:0050877;GO:0006996;GO:0032502;GO:0006936;GO:0022607
202	GO:0007155
203	GO:0008152
204	GO:0022406;GO:0051640;GO:0016043
205	GO:0050789;GO:0050896
206	GO:0050789;GO:0045229;GO:0032502;GO:0043062
207	GO:0042180
208	GO:0016070;GO:0000375
209	GO:0007033;GO:0050789;GO:0006914;GO:0022607
210	GO:0006508;GO:0009057;GO:0007049;GO:0022414;GO:0050789;GO:0036211
211	GO:0050789;GO:0050896
212	GO:0007033;GO:0050789;GO:1902600;GO:0065008
214	GO:0006996;GO:0032502
215	GO:0006508;GO:0016192;GO:0007032;GO:0044419;GO:0022411;GO:0009057;GO:0061024;GO:0007033;GO:0048284;GO:0050789;GO:0051641;GO:0016032;GO:0022607
216	GO:0051641;GO:0051640;GO:0006810
218	GO:0050789
219	GO:0050789;GO:0006412
221	GO:0050878;GO:0050817
222	GO:0016070;GO:0006520
223	GO:0050789;GO:0065009;GO:0006811;GO:0006936;GO:0050896
227	GO:0006091;GO:0009117;GO:0006082;GO:0005975
228	GO:0045229;GO:0043062
229	GO:0050789;GO:0016043
230	GO:0016070;GO:0042254;GO:0006396
231	GO:0006508;GO:0051604;GO:0036211
232	GO:0007154;GO:0007155;GO:0050789;GO:0065008;GO:0022607
233	GO:0006996
234	GO:0036211
235	GO:0036211;GO:0006066;GO:0006629
238	GO:0016070;GO:0050789;GO:0009057
239	GO:0065008;GO:0032501
240	GO:0009117
241	GO:0050789;GO:0005975;GO:0006793
242	GO:0008150
244	GO:0016070;GO:0000375
246	GO:0016070;GO:0000375
247	GO:0051234;GO:0051641
248	GO:0045333;GO:0022900;GO:0006790;GO:0006139;GO:0006082;GO:0006793;GO:0043603
250	GO:0051641;GO:0006810
251	GO:0050877
252	GO:0006281;GO:0009059;GO:0006260;GO:0065009;GO:0050789
253	GO:0051276;GO:0000280
254	GO:0022607;GO:0051641;GO:0006996
255	GO:0050789;GO:0050896;GO:0001816
256	GO:0043473;GO:0006810;GO:0048753;GO:0051641;GO:0051640
257	GO:0032502;GO:0006996;GO:0032501
258	GO:0016070;GO:0043412;GO:0006396;GO:0044085
259	GO:0006508;GO:0009057
260	GO:0007005
261	GO:0016070;GO:0006396
262	GO:0006351
263	GO:0006805;GO:0006082;GO:0050896;GO:0006629
264	GO:0006119;GO:0009117;GO:0022900
265	GO:0006811
266	GO:0050878;GO:0050817
267	GO:0050789
268	GO:0050789
270	GO:0050789;GO:0016043
271	GO:0050789;GO:0050877;GO:0032502;GO:0050896
273	GO:0045229;GO:0043062
274	GO:0007059;GO:0051276;GO:0065003
275	GO:0006996
276	GO:0006996
278	GO:0045229;GO:0043062
280	GO:0051234;GO:0050789;GO:0051641
281	GO:0045229;GO:0022411;GO:0050886;GO:0008152;GO:0050896;GO:0043062
282	GO:0046903;GO:0016192;GO:0006836
