func_module_number	lst
146	GO:0016567;GO:0032446;GO:0070647;GO:0043687
152	GO:1900745;GO:1900744
153	GO:0070266;GO:0097300;GO:0097527
155	GO:0030261;GO:0051053;GO:1902511;GO:1903625
157	GO:0008284;GO:0048009;GO:0043567;GO:0019221;GO:0071345;GO:0042531;GO:0034097;GO:1901652;GO:0050731;GO:0042509;GO:0007260;GO:0018108;GO:0018212;GO:0070120;GO:0050730;GO:0001932;GO:0001934;GO:0042327;GO:0007167;GO:0042325;GO:0045937;GO:0010562;GO:0007259;GO:0031401;GO:0038165
162	GO:0036297;GO:0007059;GO:0006281;GO:0006974;GO:0000712;GO:0034508;GO:0006310;GO:0034080;GO:0031055;GO:0051276;GO:0006302;GO:0000724;GO:0007131;GO:0140527
165	GO:0000122
167	GO:0006620;GO:0071816;GO:0045047;GO:0045048;GO:0072599;GO:0051205
168	GO:0031587
169	GO:0035176;GO:0051703
173	GO:0038061;GO:0043122;GO:0007249;GO:0032635;GO:0032675
176	GO:0006457;GO:0042026;GO:0051085;GO:0051084;GO:0006458;GO:0051604;GO:0090083;GO:0061077
177	GO:0019221;GO:0071345;GO:0034097;GO:1901652;GO:0038110;GO:0071352;GO:0070673;GO:0071351;GO:0070669;GO:0035655
179	GO:0006099;GO:0045333;GO:0009060;GO:0015980;GO:0006091;GO:0006121;GO:0072350
181	GO:0007259;GO:0097696;GO:0019221;GO:0038196;GO:0071358;GO:0034342
182	GO:0007217;GO:0003353;GO:1902093;GO:2000155;GO:1901317
184	GO:0019985;GO:0006301;GO:0000731;GO:0070987
186	GO:0051256;GO:0000022;GO:0051255;GO:0051231;GO:0008608;GO:0007052;GO:1902850;GO:1903490;GO:0007051;GO:0000226;GO:1902425;GO:1902423;GO:0032465;GO:0051310;GO:1902412;GO:0051303;GO:0050000;GO:0051987;GO:0032467;GO:0090267;GO:0090235;GO:0090232;GO:0051781;GO:0051302
187	GO:0001714;GO:0019827
188	GO:0097193;GO:0097190
196	GO:0030007;GO:0036376;GO:0006883;GO:0055075;GO:0055078;GO:1990573;GO:0140115;GO:0035725;GO:0099587;GO:0098659;GO:0006814;GO:0098739;GO:0071805;GO:1902600;GO:0006813;GO:0098771;GO:0030003;GO:0006873;GO:0055080
198	GO:0051276;GO:0034085;GO:0007062;GO:0034087;GO:0007097;GO:0016233;GO:0032205;GO:0032211;GO:0051647;GO:0051177;GO:0090220;GO:0034089;GO:2000279;GO:1904357;GO:0032204;GO:0097240;GO:0034397;GO:0006278;GO:0007004
200	GO:0010498;GO:0051603;GO:0043161;GO:0006511;GO:0019941;GO:0043632;GO:0046854;GO:0140627
205	GO:0002548;GO:0070098;GO:1990869;GO:1990868;GO:0048245;GO:0072677;GO:0070374;GO:0048247;GO:0097529;GO:0071674
211	GO:0000122
212	GO:0070269;GO:0032731;GO:0032732;GO:0032611;GO:0032651;GO:0032652;GO:0032612;GO:0050729;GO:0006954;GO:0001819;GO:0031349;GO:0031347;GO:0050727;GO:0032103;GO:0002221;GO:0002758
218	GO:0007168;GO:0006182;GO:0046068;GO:0009190;GO:0009187;GO:0052652;GO:0008217;GO:0009152;GO:0009260
220	GO:0046314;GO:0006603;GO:0006599;GO:0042396
221	GO:0099054;GO:0099172;GO:0050808;GO:0050807
222	GO:0060070
226	GO:0007167;GO:0007179
231	GO:0019221;GO:0097696;GO:0007259;GO:0071345;GO:0034097;GO:1901652;GO:0007260;GO:0042509;GO:1904892;GO:0045321;GO:0046425;GO:0042531;GO:0030097;GO:0046631;GO:0030217;GO:0018108;GO:0018212;GO:0050730;GO:0042110;GO:0035771;GO:0046649;GO:0050865;GO:0001819;GO:0002696;GO:0043367;GO:0002694;GO:0050867;GO:0002521;GO:0030098;GO:0072538;GO:0046632;GO:0002294;GO:0035710;GO:0002293;GO:0002287;GO:0002292;GO:1904894;GO:0050731;GO:0008284;GO:0035722;GO:1903131;GO:0071353;GO:0050671;GO:0032946;GO:0070670;GO:0060397;GO:0001817;GO:0001816;GO:0022407;GO:0071349;GO:0070671;GO:0002250;GO:0046634;GO:0070665;GO:0002460;GO:0042093;GO:0050863;GO:1903037;GO:0060333;GO:0051249;GO:0002286;GO:0071378;GO:0060396;GO:0051251;GO:0050870;GO:0022409;GO:0007159;GO:0042325;GO:0072539;GO:0060416;GO:0043368;GO:1903039;GO:0002366;GO:0046635;GO:0002263
233	GO:0007389;GO:0009952;GO:0003002;GO:0048568
235	GO:0090505;GO:0044319
237	GO:0046058
242	GO:0007507;GO:0003007;GO:0003206;GO:0048738;GO:0003205;GO:0003279;GO:0014706;GO:0060537;GO:0060411;GO:0003208;GO:0003151;GO:0072359;GO:0003231;GO:0035051;GO:0001944;GO:0009887;GO:0061061;GO:0003161;GO:0001568;GO:0003215;GO:0051145;GO:0003281;GO:0007389;GO:0042692;GO:0001947;GO:0061371;GO:0003143;GO:0035050;GO:1905207;GO:0003179;GO:0003162;GO:0048729
243	GO:1904045;GO:1904044;GO:0050914;GO:1904116;GO:1904117;GO:0071389;GO:0035725;GO:0071383;GO:0051385;GO:0006814;GO:0048545;GO:0050915
244	GO:0019752;GO:0043436;GO:0006082;GO:0006090;GO:0006089;GO:0009082;GO:1901607;GO:0008652
245	GO:0010586;GO:1902895;GO:2000630;GO:1902893;GO:0061614;GO:0030099
246	GO:0060337;GO:0071357;GO:0034340;GO:0140888;GO:0045087;GO:0098792
248	GO:0150105;GO:0035633;GO:1905605;GO:0090557;GO:1905603
249	GO:2000001;GO:0006974
250	GO:0006825;GO:0006878
253	GO:0007517;GO:0061061;GO:0045165;GO:0048742;GO:0010830;GO:0007519;GO:0060538;GO:0045666
255	GO:0010498;GO:0043161;GO:0051603;GO:0006511;GO:0019941
258	GO:1905821;GO:0060623;GO:0051984;GO:1905820;GO:0030261;GO:1905818;GO:0051304
261	GO:0006301;GO:0016567
263	GO:0097378;GO:0097377;GO:0097376
265	GO:0035329
267	GO:0006596;GO:0006595;GO:0042401
275	GO:0007169;GO:0007167
277	GO:0032870
278	GO:0000122
284	GO:0018205;GO:0016925
287	GO:0050808;GO:0034330;GO:0099560;GO:1905606;GO:0099174
288	GO:0007018;GO:0032467;GO:1990049;GO:0051781
289	GO:0071560;GO:0071559;GO:0141091;GO:0007178;GO:0007179;GO:1903844;GO:0071363;GO:0070848;GO:0030509;GO:0071773;GO:0071772;GO:0017015
293	GO:0000338;GO:2000434;GO:0045116
297	GO:0072331;GO:0090399
