func_module_number	lst
2	GO:2000758
3	GO:0140053;GO:0032543;GO:0006412;GO:0070129;GO:0062125;GO:0000959;GO:0000963
4	GO:0000377;GO:0000398;GO:0000375;GO:0006397;GO:0008380;GO:0016071;GO:0000245;GO:0022618;GO:0071826
5	GO:0016567;GO:0032446
6	GO:0006520;GO:0006418;GO:0043038;GO:0043039;GO:0044208;GO:0055086;GO:0006399;GO:0090407;GO:0006753
7	GO:0006914;GO:0061919;GO:0016236;GO:0000045;GO:1905037;GO:0007033;GO:0010506;GO:0044804;GO:0097352;GO:0006995;GO:0043562
8	GO:0007169;GO:0007167;GO:0002768;GO:0002429;GO:0002764;GO:0038093;GO:0002757;GO:0043491;GO:0018108;GO:0018212;GO:0050851;GO:0002253;GO:0050776;GO:0050853;GO:0038094;GO:0050778;GO:0002431;GO:0038096;GO:0002433;GO:0046777;GO:0046649;GO:0045321;GO:0051897;GO:0002862;GO:0043408;GO:0008284;GO:0051896;GO:0030335;GO:0000165;GO:2000147;GO:0040017;GO:0038095;GO:0042113;GO:0018193;GO:0002861;GO:0043410;GO:0030334;GO:0030183;GO:0006909;GO:0030168;GO:0007264;GO:0006897;GO:0002437;GO:0050865;GO:0042110;GO:0002252;GO:1901701;GO:0030097;GO:0002521;GO:0045785
9	GO:0009060;GO:0006119;GO:0045333;GO:0015980;GO:0006091;GO:0019646;GO:0042775;GO:0042773;GO:0022900;GO:0022904;GO:0042776;GO:0015986;GO:0006754;GO:0009145;GO:0009206
10	GO:0016197;GO:0032456;GO:0042147;GO:0030509;GO:0071773;GO:0071772;GO:0016482;GO:0090092;GO:0098876
12	GO:0002181;GO:0006412;GO:0042254;GO:0022613;GO:0042274
13	GO:0007031;GO:0043574;GO:0015919;GO:0072663;GO:0072662;GO:0016558;GO:0065002;GO:0044743;GO:0071806;GO:0072594;GO:0016562
15	GO:0072524;GO:0055086;GO:0009117;GO:0006163;GO:0019362;GO:0046496;GO:0006753;GO:0072521;GO:0044282;GO:0005975;GO:0046364;GO:0019752;GO:0043436;GO:0006082;GO:0005996;GO:0016052;GO:0009154;GO:0019319;GO:0009261;GO:0051715;GO:0044283;GO:0019693;GO:0006195;GO:0051156
16	GO:0007186
17	GO:0007059;GO:0098813;GO:0000278;GO:0000819;GO:0007091;GO:0044784;GO:0033045;GO:0010965;GO:0000070;GO:0051306;GO:0051983;GO:0031145;GO:0051276;GO:0030071;GO:0051445;GO:1902099;GO:1905818;GO:0140014;GO:0051304;GO:0007346;GO:1903047;GO:0007088;GO:0070979;GO:0051783;GO:0033044;GO:0000280
18	GO:0006897;GO:0098657;GO:0006898;GO:0072583;GO:0016197;GO:0048268;GO:0060627;GO:0099003;GO:0048488;GO:0140238;GO:0036465
19	GO:0006888;GO:0048193;GO:0006890;GO:0006891;GO:0035459
20	GO:0034220;GO:0006820;GO:0098656;GO:0006884;GO:0098660;GO:0098661;GO:0006812;GO:0015711;GO:0098655;GO:1902476;GO:0019725;GO:0098739;GO:0055064;GO:0055081
21	GO:0010498;GO:0043161;GO:0051603;GO:0019941;GO:0043632;GO:0006511;GO:1903050;GO:0061136
22	GO:0016236;GO:0061919;GO:0006914;GO:1904903;GO:1904896;GO:0007040;GO:0080171;GO:0007032;GO:0007035;GO:0046753;GO:0007033;GO:0061952;GO:0001778;GO:0035891;GO:0019076;GO:0051452;GO:0016241;GO:0036258;GO:0036257;GO:1902774;GO:0046761;GO:0032506;GO:1902410;GO:0031468;GO:0032510;GO:1902600;GO:0039702;GO:0051453;GO:0030641
23	GO:0001836;GO:0090200;GO:0008637;GO:0090199;GO:0097193;GO:0006887;GO:0010821;GO:0008630;GO:0032651;GO:0032611;GO:1900103;GO:0097190;GO:0043065;GO:0070059;GO:0032731;GO:0032652;GO:0032612;GO:0043068;GO:1905898;GO:0032732
25	GO:0002224;GO:0140895;GO:0002221;GO:0002752;GO:0002758;GO:0002831;GO:0002218;GO:0002237;GO:0002220;GO:0045089;GO:0045088;GO:0002833;GO:0031347;GO:0071219;GO:0034142;GO:0002757;GO:0071216;GO:0031349;GO:0032479;GO:0032606;GO:0002764;GO:0002253;GO:0009617;GO:0032103;GO:0050778;GO:0001817;GO:0045087;GO:0001816;GO:0050776;GO:0007249;GO:0032496;GO:0032481;GO:0002429
26	GO:0006325;GO:0006338;GO:0000122;GO:1902459;GO:2000819;GO:0042659;GO:2000036;GO:0010453;GO:0070316;GO:0045023;GO:0019827;GO:0098727;GO:0006974;GO:0001708;GO:0040029;GO:0045663;GO:0045582;GO:0045621;GO:0045814;GO:0006289;GO:0045445;GO:0007059;GO:2000781;GO:0045661;GO:0030071;GO:2000736;GO:1902099;GO:0007091
27	GO:0007015;GO:0030036;GO:0030029;GO:0097435;GO:0045010;GO:0034314
28	GO:1905168;GO:0045911;GO:0051052;GO:0010569;GO:2000781;GO:0000018
