func_module_number	lst
13	GO:0007565
14	GO:0006082;GO:0016053;GO:0010901
19	GO:0050911;GO:0050907
22	GO:0015671;GO:0015669;GO:0042744
23	GO:0006334;GO:0034728;GO:0065004;GO:0071824;GO:0006325;GO:0006338
29	GO:0035725
41	GO:0008544
43	GO:0060285;GO:0001539
50	GO:0045104
71	GO:0000278;GO:0051276;GO:1903047;GO:0006260;GO:0007059;GO:0090329;GO:0006261;GO:0006974;GO:0006281;GO:0006275;GO:0090068;GO:0044786;GO:0033260;GO:0000819;GO:0045787;GO:0000070;GO:0010564
83	GO:0000278;GO:1903047;GO:0010564;GO:0051276;GO:0007059;GO:0000280;GO:0048285;GO:0098813;GO:0140014;GO:0006260;GO:0044770;GO:1901987;GO:0006261;GO:0000075;GO:0000070;GO:0000819;GO:0007346;GO:1901988;GO:0010948;GO:0044772;GO:0007093;GO:0051983;GO:1901990;GO:0045786;GO:0006974;GO:1905818;GO:0051783;GO:0090068;GO:0051304;GO:1901991;GO:0045787;GO:0007088;GO:0045930;GO:0006281
91	GO:0002181;GO:0006412;GO:0042254;GO:0022613;GO:0006364
92	GO:0002181;GO:0006412;GO:0042274
99	GO:0051607;GO:0009615;GO:0045087;GO:0002831;GO:0048525;GO:0031347;GO:0050792;GO:1903900;GO:0045071
100	GO:0051607;GO:0009615;GO:0045087;GO:0034097;GO:1901652;GO:0050776;GO:0050778;GO:0071345;GO:0002253;GO:0034341;GO:0002757;GO:0019221;GO:0002764
122	GO:0045954;GO:0032814;GO:0002717;GO:0042269
138	GO:0019752
145	GO:0043001
163	GO:0000280;GO:0000278;GO:0048285;GO:1903047;GO:0051276;GO:0098813;GO:0007059;GO:1901987;GO:0140014;GO:0010564;GO:0010948;GO:0000819;GO:1901988
164	GO:1903047;GO:0000278;GO:0044770;GO:0010564;GO:0044772;GO:0007059;GO:0000819;GO:0000070;GO:0140014;GO:0051276;GO:0098813;GO:0051983;GO:1901987;GO:0000280;GO:0048285;GO:1901990;GO:1905820;GO:0007080
173	GO:0002717;GO:0002715
182	GO:0044248;GO:0016054;GO:0046395;GO:0009062
183	GO:0002697
185	GO:0006888
186	GO:0007035;GO:0007033;GO:0051452
192	GO:0015986;GO:0006754;GO:0009145;GO:0009206;GO:0009201;GO:0006119;GO:0009060;GO:0009142;GO:0042776;GO:0045333;GO:0009152;GO:0009260;GO:0046390
193	GO:0006119;GO:0009060;GO:0045333;GO:0019646;GO:0015980;GO:0042773;GO:0042775;GO:0006091;GO:0022904;GO:0022900;GO:0015986;GO:0006754
