func_module_number	lst
2	GO:0006816;GO:0070588;GO:0051480;GO:0006874;GO:0055074;GO:0030001;GO:0043270
3	GO:0007204;GO:0098771
4	GO:1990573;GO:0098659;GO:0099587;GO:0098739;GO:0071805
6	GO:0006352;GO:0006367;GO:0051123;GO:0070897;GO:0060260
8	GO:0099022;GO:0006888;GO:0006901;GO:0048193
9	GO:0016055;GO:0060070;GO:0035567;GO:0045165;GO:0061183;GO:0061054;GO:1904948;GO:0030111;GO:0071542;GO:0009790;GO:0030178;GO:0061184;GO:0071300;GO:0062009
10	GO:0099643;GO:0007269;GO:0007268;GO:0098916;GO:0099537;GO:0099536;GO:0006836;GO:0045055;GO:0050808
11	GO:0046854;GO:0006661;GO:0043491;GO:0046488;GO:0008286;GO:0046474
12	GO:0034446
14	GO:0007186
15	GO:0007601
16	GO:0018343
17	GO:0019692;GO:0009394
18	GO:0006974
19	GO:0006734;GO:0006090;GO:0030388;GO:0006002;GO:0019674;GO:0010965;GO:0019362;GO:0046496;GO:0051306
20	GO:0006325;GO:0006338;GO:2000819;GO:0070316;GO:0045023;GO:0045663;GO:0006289;GO:0045661;GO:2000781;GO:0030071;GO:1902099;GO:0007091;GO:0044784;GO:2000779;GO:0033045;GO:0000819;GO:0045445;GO:0051983;GO:0045739;GO:0098813;GO:0033044;GO:2000045;GO:0034728;GO:0045582;GO:0006282
21	GO:0016925;GO:0032446
22	GO:0000209;GO:0070534;GO:0016567;GO:0032446;GO:0070647;GO:0043687;GO:0007249;GO:0031398
24	GO:0044818;GO:0010972;GO:1902750;GO:0010389;GO:1902749;GO:0000086;GO:0007095;GO:0044839;GO:0007093;GO:0006281;GO:1901991
25	GO:1903312;GO:1902373;GO:1902369;GO:0008380;GO:0016071;GO:0070934;GO:1903311;GO:1900152;GO:2000767
26	GO:0006281;GO:0006974;GO:0000723;GO:0032200;GO:0051053;GO:0032205;GO:0016233;GO:0051052;GO:0051276;GO:0006310;GO:0010833;GO:1904357;GO:0032204;GO:0006284;GO:0006302;GO:0006298;GO:1904356;GO:2001251;GO:0006278;GO:0007004;GO:0033044;GO:0071897;GO:0006289;GO:0032210;GO:0000724
27	GO:0006613;GO:0033152;GO:0045047;GO:0072599;GO:0033151;GO:0006614;GO:0010212
28	GO:0006260;GO:0006261;GO:0006270;GO:0006275;GO:0090329;GO:0033260;GO:0044786;GO:0051052;GO:0000724;GO:0000725;GO:0000727;GO:0030174;GO:0006310
29	GO:1904851;GO:0071560;GO:0071559;GO:0070203;GO:1904869;GO:1904871
30	GO:0006354;GO:0006368;GO:0032784;GO:0034243;GO:0032786
31	GO:0035654;GO:0035652;GO:0099514;GO:0099517;GO:0048490;GO:0016183;GO:0048489;GO:0035459;GO:0097479;GO:0016185;GO:0070142
32	GO:0042744;GO:0042743
33	GO:0007264;GO:1900026
35	GO:0031124;GO:0031123;GO:0006397
36	GO:0035329;GO:0048738;GO:0014706
37	GO:0035268;GO:0035269;GO:0097502;GO:0045746
38	GO:0006397;GO:0000375;GO:0008380;GO:0000398;GO:0000377;GO:0016071
39	GO:0045197;GO:0035088;GO:0061245;GO:0007163;GO:0001933
40	GO:0043567;GO:0048009;GO:0046006
41	GO:0001836;GO:0008637;GO:0007005;GO:0097193;GO:0010821;GO:0097191;GO:0097190;GO:0090199;GO:0097192;GO:0008630;GO:0038034;GO:0090200;GO:0070059;GO:0043065;GO:0043068;GO:2001244;GO:2001242;GO:2001233
42	GO:0038202;GO:0090170;GO:0048313;GO:0048308;GO:0071230;GO:0032006;GO:0071229;GO:0043200;GO:1903432;GO:0031929;GO:0001101;GO:0032008
44	GO:0060391;GO:0060411;GO:0060390;GO:0060317;GO:0003279;GO:0062043;GO:0062042;GO:0060395;GO:0003203;GO:0090100;GO:0003206;GO:0141091;GO:0003007;GO:0072132;GO:0003197
45	GO:0016073;GO:0016180;GO:0044027
46	GO:0043123;GO:0043122;GO:0097191;GO:0007249;GO:0070266;GO:0097300;GO:0071260;GO:0071496;GO:0008625
48	GO:0006936;GO:0003012;GO:0030049;GO:0033275;GO:0006941;GO:0003009;GO:0050879;GO:0050881;GO:0030029;GO:0045214;GO:0050905;GO:0070252
50	GO:0007163;GO:1903361
51	GO:0000122
53	GO:0045348
54	GO:0070507;GO:0000226;GO:0031109;GO:0032886
55	GO:0032479;GO:0032606;GO:0032608;GO:0032648;GO:0051607;GO:0032728;GO:0009615
56	GO:1904029;GO:0000079;GO:0000278;GO:0071900;GO:0044772
