/Users/ash/data/funvar_pipeline/datasets/go/go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
/Users/ash/data/funvar_pipeline/datasets/go/goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.003023   1,635 annotations READ: /Users/ash/git/macsmaf/macsr_nf/macsr_nf_dev/output/arc/test2/go_slim_results_R1_cpdb_0.2.txt 
271 IDs in all associations
func_module_number	
185	GO:0006066;GO:0006629
186	GO:0065003;GO:0016192
187	GO:0007155
188	GO:0006091;GO:0009117
189	GO:0022607
190	GO:0046903;GO:0016192;GO:0050789;GO:0015837
191	GO:0016192
192	GO:0007155;GO:0022607
193	GO:0001816;GO:0002376;GO:0050789;GO:0001775;GO:0032502
194	GO:0002376;GO:0050896;GO:0050789;GO:0001775
196	GO:0006996;GO:0051258
197	GO:0065008;GO:0050789;GO:0009057;GO:0016070
199	GO:0050817;GO:0050878;GO:0050896;GO:0050789
201	GO:0002376;GO:0050896;GO:0044419;GO:0050789
202	GO:0022414
204	GO:0050896;GO:0050789
206	GO:0006793;GO:0036211
207	GO:0006793;GO:0036211
209	GO:0006112;GO:0001816;GO:0005976;GO:0050896;GO:0050789
210	GO:0006996;GO:0051258;GO:0050789
211	GO:0050789
212	GO:0006091;GO:0005975;GO:0006082;GO:0009117
213	GO:0032502
214	GO:0065008;GO:0032501
217	GO:0022406;GO:0061024;GO:0051640
220	GO:0006629;GO:0043603
221	GO:0032502
224	GO:0045229;GO:0043062
225	GO:0048284;GO:0022607;GO:0006508;GO:0051641;GO:0016032;GO:0009057;GO:0022411;GO:0044419;GO:0061024;GO:0016192;GO:0050789;GO:0007032;GO:0007033
226	GO:0006996;GO:0050789
227	GO:0051641;GO:0015931
228	GO:0016070;GO:0050789;GO:0000375
229	GO:0006996
230	GO:0016192
231	GO:0006811;GO:0016192;GO:0007030;GO:0050789
232	GO:0036211;GO:0050789
233	GO:0042440
235	GO:0050896;GO:0050789
236	GO:0002376;GO:0050789
237	GO:0051179;GO:0006997
238	GO:0050896;GO:0050789
239	GO:0006091;GO:0005975;GO:0006082;GO:0009117
240	GO:0006790;GO:0006139;GO:0006091;GO:0006793;GO:0043603
241	GO:0045229;GO:0043062
242	GO:0065008;GO:0051641;GO:0051640;GO:0006810;GO:0050789
243	GO:0065003;GO:0050789;GO:0016070;GO:0009059
245	GO:0042254;GO:0006396;GO:0016070
248	GO:0045229;GO:0043062
249	GO:0006082
250	GO:0065008;GO:0050789;GO:0009057;GO:0016070
251	GO:0022900;GO:0006119;GO:0009117
252	GO:0065008;GO:0006914;GO:0050789;GO:1902600
255	GO:0051641;GO:0016192;GO:0016043;GO:0006914;GO:0050789
256	GO:0006396;GO:0016070
257	GO:0006412
258	GO:0032502;GO:0050789;GO:0051604
259	GO:0032502;GO:0050877;GO:0022607
260	GO:0006810;GO:0006996;GO:0022607
261	GO:0006790
262	GO:0006810;GO:0051641;GO:0051640
263	GO:0007059;GO:0036211;GO:0065003;GO:0051276
264	GO:0051276
265	GO:0006351
266	GO:0050789;GO:0008152
267	GO:0006082;GO:0006520
268	GO:0006082;GO:0006805;GO:0050896;GO:0006629
269	GO:0006629;GO:0006082
270	GO:0006396;GO:0016070
271	GO:0065003;GO:0044238;GO:0007005;GO:0045333;GO:0022900
273	GO:0032502;GO:0016043;GO:0050789
274	GO:0065008;GO:0007154;GO:0050789
276	GO:0006457
277	GO:0051641;GO:0051640;GO:0006810;GO:0043473;GO:0048753
278	GO:0045229;GO:0043062
280	GO:0065009;GO:0006811;GO:0051641;GO:0050789;GO:0032501
282	GO:0006066;GO:0006082
283	GO:0006508;GO:0036211;GO:0009057
284	GO:0050789
286	GO:0022607;GO:0051641;GO:0051640;GO:0006810;GO:0006996;GO:0032501
287	GO:0042254;GO:0006396;GO:0016070
289	GO:0006996;GO:0050789;GO:0022607;GO:0031023
290	GO:0050789;GO:0006996;GO:0007049
291	GO:0006811
292	GO:0008150
293	GO:0032502;GO:0050896;GO:0050789
294	GO:0050789
295	GO:0050879;GO:0006936;GO:0050877
296	GO:0002376;GO:0050896
298	GO:0007059;GO:0051234;GO:0000280;GO:0051640;GO:0050789;GO:0051276
299	GO:0043603;GO:0019538;GO:0016192
300	GO:0046903;GO:0015031;GO:0048753;GO:0022607
302	GO:0006996;GO:0032502;GO:0022607
303	GO:0016192;GO:0050789
304	GO:0008150
309	GO:0016043
311	GO:0006629;GO:0006082
313	GO:0050789
314	GO:0006996;GO:0032502;GO:0032501
315	GO:0006351;GO:0050789
316	GO:0051641;GO:0015931
317	GO:0022607;GO:0006508;GO:0015031;GO:0016192;GO:0009057;GO:0061024;GO:0007032
318	GO:0006457;GO:0051604
320	GO:0006811;GO:0050789;GO:0065008
321	GO:0016050;GO:0051641;GO:0016192;GO:0061024
322	GO:0036211;GO:0002376;GO:0008283;GO:0044419;GO:0006793;GO:0050896;GO:0001775;GO:0050789
323	GO:0051641;GO:0009057;GO:0015931;GO:0050789;GO:0016070
324	GO:0006412;GO:0042254
325	GO:0006508;GO:0036211;GO:0051604
326	GO:0016070;GO:0000375
328	GO:0006508;GO:0015031;GO:0009057;GO:0050896;GO:0050789
331	GO:0006996;GO:0022607
332	GO:0006810;GO:0051641
336	GO:0042254;GO:0006396;GO:0009057;GO:0050789;GO:0016070
337	GO:0007155
338	GO:0006119;GO:0009117
340	GO:0051641
342	GO:0048284;GO:0016050;GO:0016192;GO:0061024
344	GO:0008150
346	GO:0042180
348	GO:0006629;GO:0006082
353	GO:0006997
354	GO:0006810
358	GO:0006790;GO:0006805;GO:0043603
362	GO:0065008;GO:0050896;GO:0050789
363	GO:0016043
