func_module_number	go_slim_pir
133	GO:0000280;GO:0007049;GO:0006281;GO:0022414;GO:0050789
134	GO:0016070;GO:0006520
135	GO:0032502;GO:0050789
136	GO:0050789
137	GO:0051276;GO:0006281;GO:0007059;GO:0050789
139	GO:0006354;GO:0050789
140	GO:0065003;GO:0006351
141	GO:0022607;GO:0007155
142	GO:0008152
143	GO:0022607;GO:0045229;GO:0051179;GO:0043062;GO:0032502;GO:0050789
144	GO:0032501;GO:0022414
145	GO:0002376;GO:0001775;GO:0065009;GO:0008283;GO:0050896;GO:0050789
146	GO:0009117
147	GO:0009117
148	GO:0051604;GO:0006508
149	GO:0042180
150	GO:0050789;GO:0065008;GO:0006811
151	GO:0032501;GO:0050789
152	GO:0009117
153	GO:0042445;GO:0006629;GO:0006066
154	GO:0006082;GO:0009117;GO:0006066;GO:0006790
155	GO:0006508;GO:0009057
156	GO:0051258;GO:0006996
157	GO:0016070;GO:0000375
158	GO:0016070;GO:0000375
159	GO:0051276;GO:0065003;GO:0007059
160	GO:0032501;GO:0006811;GO:0065009;GO:0050896;GO:0050789
161	GO:0040011;GO:0002376;GO:0050896;GO:0050789
162	GO:0032501;GO:0009914;GO:0065009;GO:0015833;GO:0046903;GO:0022414;GO:0050789
163	GO:0044419;GO:0065008;GO:0002376;GO:0040011;GO:0050896;GO:0050789
164	GO:0015031;GO:0009057;GO:0006508;GO:0050896;GO:0050789
165	GO:0016043;GO:0032502
166	GO:0006730;GO:0009117
167	GO:0065009;GO:0050789
168	GO:0006996;GO:0032502
169	GO:0051641;GO:0006914;GO:0016192
171	GO:0051604;GO:0006457;GO:0031647;GO:0006914;GO:0050896;GO:0050789
173	GO:0007005;GO:0050896;GO:0050789
175	GO:0051604;GO:0006457
176	GO:0051641;GO:0016050;GO:0048284;GO:0006810;GO:0061024
177	GO:0016070;GO:0065008;GO:0009057;GO:0051179;GO:0006396;GO:0050789
178	GO:0016070;GO:0006412;GO:0065008;GO:0009057;GO:0050789
179	GO:0016070;GO:0000375;GO:0050789
180	GO:0016070;GO:0065003;GO:0000375
181	GO:0009059;GO:0006260;GO:0051276;GO:0065009;GO:0006281;GO:0050789
182	GO:0009059;GO:0002376;GO:0006266;GO:0006281;GO:0032502
183	GO:0036211
184	GO:0032502;GO:0001775;GO:0002376;GO:0050789
185	GO:0032502;GO:0050789;GO:0050896;GO:0006351
186	GO:0050789
188	GO:0022411;GO:0045229;GO:0008152;GO:0043062
189	GO:0007155
190	GO:0001816;GO:0044419;GO:0002376;GO:0065009;GO:0050896;GO:0050789
191	GO:0044419;GO:0002376;GO:0050896;GO:0050789
195	GO:0032501;GO:0050896;GO:0050789
196	GO:0022414
197	GO:0022607;GO:0006996
198	GO:0050877
199	GO:0002376;GO:0050789
200	GO:0036211;GO:0051604
201	GO:0065003;GO:0006281;GO:0050789
202	GO:0016043;GO:0050789
203	GO:0036211
204	GO:0032501;GO:0050789
205	GO:0061024
206	GO:0006457;GO:0002376
207	GO:0016043
208	GO:0016043;GO:0036211
209	GO:0031647
210	GO:0051641;GO:0006810;GO:0051640;GO:0050789
211	GO:0065009;GO:0050789
213	GO:0006793;GO:0036211;GO:0050896;GO:0050789
214	GO:0050789
215	GO:0050789
216	GO:0051641;GO:0046903;GO:0016192;GO:0050789
217	GO:0046903;GO:0016192;GO:0050789
218	GO:0016070;GO:0006396;GO:0050789
219	GO:0032502;GO:0050789
220	GO:0050896;GO:0050789
222	GO:0042180;GO:0006351;GO:0048511;GO:0050896;GO:0050789
223	GO:0050896;GO:0050789
224	GO:0051641;GO:0032502;GO:0022607;GO:0007155;GO:0050789
225	GO:0032501;GO:0016043;GO:0040007;GO:0050789
226	GO:0006996;GO:0050789
227	GO:0006949
228	GO:0015849
231	GO:0006996
232	GO:0006811
233	GO:0044419;GO:0050896;GO:0002376
234	GO:0051641
235	GO:0006629;GO:0006066
236	GO:0016043;GO:0032502
237	GO:0036211;GO:0006508;GO:0009057
238	GO:0036211;GO:0006508;GO:0009057
241	GO:0046903;GO:0006836;GO:0016192
242	GO:0051641;GO:0016192;GO:0050789
243	GO:0051234;GO:0022607;GO:0051640;GO:0000280;GO:0050789
244	GO:0006790
245	GO:0051641;GO:0006996
246	GO:0007005;GO:0006810
247	GO:0006082;GO:0045333;GO:0006629
248	GO:0036211;GO:0002376;GO:0001775;GO:0006793;GO:0007155;GO:0050789
250	GO:0006412
251	GO:0016070;GO:0043412;GO:0006412
252	GO:0007049
253	GO:0051258;GO:0006996;GO:0065008;GO:0050789
254	GO:0032502;GO:0006996;GO:0065008;GO:0050789
255	GO:0001906;GO:0044419;GO:0002376;GO:0050896;GO:0007155;GO:0050789
256	GO:0050789
259	GO:0006112;GO:0005976;GO:0009057
261	GO:0016070;GO:0043412
262	GO:0051234;GO:0051640;GO:0000280;GO:0051276;GO:0007059
264	GO:0007155;GO:0016043;GO:0065008;GO:0050789
266	GO:0032501;GO:0065008;GO:0036211;GO:0006811;GO:0016043;GO:0006793;GO:0050896;GO:0050789
268	GO:0051604;GO:0050817;GO:0045229;GO:0050878;GO:0006508;GO:0043062;GO:0050896;GO:0050789
270	GO:0050896
271	GO:0009059;GO:0019538;GO:0050789
275	GO:0006811;GO:0050877
277	GO:0065009;GO:0050789
278	GO:0050789
281	GO:0007155;GO:0001775;GO:0002376;GO:0050789
282	GO:0051604;GO:0006508;GO:0050789
283	GO:0007029
285	GO:0065003
286	GO:0065009;GO:0050789
287	GO:0016043;GO:0051606;GO:0032502;GO:0050877
288	GO:0051606;GO:0050877
289	GO:0032196;GO:0000280;GO:0006396;GO:0032502;GO:0022414;GO:0050789
290	GO:0050789
291	GO:0050789
292	GO:0050789
295	GO:0022607;GO:0006996
296	GO:0065009;GO:0050789
297	GO:0022607;GO:0006996
299	GO:0016043;GO:0036211;GO:0006281;GO:0050789
304	GO:0036211;GO:0050789
305	GO:0016070;GO:0043412;GO:0006396
306	GO:0016043;GO:0050789
307	GO:0032502;GO:0050789
310	GO:0006082;GO:0009225;GO:0043603
311	GO:0050789;GO:0065008;GO:0006811
313	GO:0006629
315	GO:0050789
316	GO:0050789;GO:0007154;GO:0006811
317	GO:0050789;GO:0019538;GO:0065008;GO:0006811
318	GO:0006869;GO:0015849;GO:0009117
320	GO:0006082;GO:0006520
322	GO:0006869
326	GO:0006082;GO:0006520
327	GO:0016070;GO:0000375;GO:0050789
328	GO:0006112;GO:0005976
329	GO:0022607;GO:0031023;GO:0006996
330	GO:0032502;GO:0022414
331	GO:0016070;GO:0006396
332	GO:0032502
336	GO:0050789
337	GO:0008150
339	GO:0009308
340	GO:0009225
341	GO:0036211
342	GO:0032502;GO:0050789
344	GO:0051641;GO:0007031;GO:0006869;GO:0006082;GO:0006629;GO:0015849
346	GO:0051641;GO:0016192
350	GO:0016070;GO:0043412;GO:0006396
