func_module_number	lst
2	GO:0006457;GO:0051604;GO:0034975
3	GO:0006334;GO:0034728;GO:0002227;GO:0065004
4	GO:0007033;GO:0019377
9	GO:0032386;GO:0006914;GO:0061919
10	GO:0042178;GO:0018916;GO:0006749;GO:0070458;GO:0051410;GO:0006805
12	GO:1903047;GO:0000278;GO:0007059;GO:0010564;GO:0051276;GO:0140014;GO:0098813;GO:0000280;GO:0000070;GO:0006261;GO:0048285;GO:0006260;GO:0000819;GO:0044772;GO:0044770;GO:0000086;GO:1901990;GO:1901991;GO:0044839;GO:1905818;GO:0007346;GO:0090068;GO:0010948;GO:0007093;GO:0045787;GO:1901987;GO:0000075
13	GO:0045087;GO:0009615;GO:0050792;GO:0002831;GO:0051607;GO:0002832;GO:0045824
14	GO:0009060;GO:0045333;GO:0072521;GO:0006163;GO:0006753
15	GO:1990169;GO:0010273;GO:0071294;GO:0097501;GO:0071280;GO:0061687;GO:0046688
16	GO:0002181;GO:0006412;GO:0042254;GO:0022613
18	GO:0006413
19	GO:0016071;GO:0006397
20	GO:0051607;GO:0009615;GO:0045087;GO:0048525;GO:0045071;GO:0002831;GO:1903900;GO:0045069;GO:0050792;GO:0019079;GO:1901652;GO:0034097;GO:0031347;GO:0019058;GO:0045088
25	GO:0030198;GO:0043062;GO:0045229;GO:0072359;GO:0048646;GO:0030199;GO:0007492;GO:0071711
26	GO:0051923;GO:0006068;GO:0006067
27	GO:0030199
28	GO:0046649;GO:0050851;GO:0045321;GO:0050852;GO:0002429;GO:0002768;GO:0042110;GO:0002253;GO:0030098;GO:0050778;GO:0002757
31	GO:0002833;GO:0002831;GO:0002253;GO:0050776;GO:0050778
33	GO:0032510;GO:0019068
37	GO:0050776;GO:0050778;GO:0045087;GO:0019882;GO:0048002;GO:0034341;GO:1901652;GO:0034097;GO:0070663;GO:0002443;GO:0002478;GO:0019884;GO:0002764;GO:0002449;GO:0051607;GO:0002250;GO:0009615;GO:0019883;GO:0070661;GO:0001817;GO:0001816;GO:0050670;GO:0032944;GO:0031347;GO:0002483;GO:0002252;GO:0002253;GO:0071345;GO:0002757;GO:0051249;GO:0046651;GO:0032943;GO:0002831;GO:0002456;GO:0032103;GO:0002460;GO:1903900;GO:0001819;GO:0002694;GO:0046649;GO:0070665;GO:0050792;GO:0045321;GO:0001906;GO:0042129;GO:0050865
39	GO:0009896
40	GO:0006954
42	GO:1901652;GO:0034097;GO:0006954;GO:0019221;GO:0071345;GO:0050900;GO:0007249;GO:0071219;GO:0001817;GO:0001816;GO:0001819;GO:0032103;GO:0002685;GO:0071216;GO:0071222;GO:0071347;GO:0030595;GO:0070098;GO:0002237;GO:0045321;GO:0038061;GO:0042330;GO:0006935;GO:1990868;GO:1990869;GO:0070555;GO:0097529;GO:0032496;GO:0022409;GO:0097530;GO:0045087;GO:1903039;GO:0009617;GO:0007159;GO:0022407;GO:0030335;GO:0060326;GO:0034612;GO:1990266;GO:0050865;GO:2000147;GO:0042110;GO:0030334;GO:0071621;GO:0030155;GO:0040017
44	GO:0045333;GO:0009060;GO:0015980;GO:0006119;GO:0015986;GO:0006091;GO:0006754;GO:0009206;GO:0009145;GO:0042776;GO:0009201;GO:0022904;GO:0009142;GO:0022900
46	GO:0038108
49	GO:0016126;GO:0008610;GO:0006695;GO:1902653;GO:0008203;GO:1902652;GO:0016125;GO:0006694
50	GO:0000122;GO:0045444;GO:0001568;GO:2000630;GO:0000165;GO:0001944
51	GO:0006119;GO:0009060;GO:0045333;GO:0015980;GO:0022904;GO:0042773;GO:0042775;GO:0006091;GO:0022900;GO:0019646;GO:0015986;GO:0042776;GO:0006754
53	GO:0043085
56	GO:0002181;GO:0006412;GO:0022613;GO:0042254
59	GO:0019752;GO:0006575;GO:0043436
60	GO:0008625;GO:0097191;GO:0097190;GO:0043068
67	GO:2000434
68	GO:0044087
69	GO:0007015
72	GO:0006412;GO:0022613;GO:0061077
73	GO:0016071;GO:0006397;GO:0000377;GO:0000398;GO:0000375;GO:0006403;GO:0008380;GO:0051276;GO:0050658;GO:0050657;GO:0051236;GO:0010608;GO:1903311;GO:0022613;GO:0000723;GO:0006405
74	GO:0043161;GO:0010498;GO:0006511
75	GO:0010498;GO:0043161
77	GO:0016071;GO:0008380
78	GO:0006397;GO:0016071;GO:0000377;GO:0000398
79	GO:0019395;GO:0034440;GO:0006635
84	GO:0000075;GO:0000077;GO:0031570
86	GO:0000278;GO:1903047;GO:0010564;GO:0140014;GO:0044770;GO:0000070;GO:0000819;GO:0051276;GO:0007059;GO:0000280;GO:0048285;GO:0098813;GO:0044772;GO:0051983;GO:1901987;GO:1905818;GO:0010948;GO:0000075;GO:0051304;GO:1901990;GO:0007091;GO:0044784;GO:1905820;GO:0033045;GO:0045786;GO:1901988;GO:0007346;GO:0010965;GO:0051306
87	GO:0007059;GO:1903047;GO:0140014;GO:0000278;GO:0051276;GO:0000280;GO:0048285;GO:0098813;GO:0010564;GO:0000819;GO:0000070
91	GO:0140053
93	GO:0007031;GO:0072662;GO:0072663
94	GO:0006260;GO:0006275;GO:0006261;GO:0090329;GO:0000278;GO:1903047;GO:0033260;GO:0044786;GO:0051052;GO:0051276;GO:0006281;GO:1900264;GO:1900262
