go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.006376   2,965 annotations READ: go_slim_results_K1_string_0.0.txt 
428 IDs in all associations
func_module_number	
232	GO:0050789;GO:0050896
243	GO:0050789;GO:0050896
254	GO:0006351
257	GO:0007049;GO:0006996
258	GO:0050789;GO:0016043
259	GO:0050789;GO:0006281;GO:0016043
261	GO:0002376;GO:0065008;GO:0050789;GO:0040011;GO:0050896
262	GO:0050789;GO:0050896;GO:0002376
267	GO:0022414;GO:0032501
268	GO:0050789;GO:0006260;GO:0032392;GO:0006281
269	GO:0050789;GO:0006996
270	GO:0050789;GO:0065009;GO:0006996
271	GO:0065008;GO:0016070;GO:0009057;GO:0050789
272	GO:0002376;GO:0008283;GO:0001775;GO:0044419;GO:0001816;GO:0050789;GO:0050896
273	GO:0050789;GO:0006793;GO:0036211;GO:0050896
274	GO:0050789;GO:0005976;GO:0006112;GO:0009059
275	GO:0036211
276	GO:0016070
277	GO:0051640;GO:0006996;GO:0051641;GO:0006810;GO:0006936
279	GO:0006629;GO:0006082
280	GO:0006629;GO:0006082
281	GO:0065008;GO:0050789;GO:0016043;GO:0051179
282	GO:0015849;GO:0006869
285	GO:0050789;GO:0006811;GO:0050896
290	GO:0046903;GO:0016192;GO:0015031
292	GO:0050789;GO:0032502
293	GO:0050789
296	GO:0050789;GO:0007155
297	GO:0006793;GO:0006629
298	GO:0006396;GO:0016070
300	GO:0006508
306	GO:0044419;GO:0050896
307	GO:0050789;GO:0000375;GO:0016070;GO:0065003
314	GO:0007155
317	GO:0050789;GO:0065009
318	GO:0036211
321	GO:0032502;GO:0065003
325	GO:0050789
326	GO:0015849;GO:0006869
328	GO:0043603;GO:0006629
331	GO:0050789;GO:0016043
333	GO:0008152
338	GO:0007033;GO:0036211;GO:0022607
342	GO:0050789;GO:0006354
343	GO:0016070;GO:0065003;GO:0009059
345	GO:0048284;GO:0016050;GO:0061024;GO:0016192;GO:0051641;GO:0050789
346	GO:0046903;GO:0051640;GO:0016043;GO:0016192;GO:0051641;GO:0022406
347	GO:0051641;GO:0006810;GO:0006996
348	GO:0051640;GO:0051641;GO:0051276;GO:0007059;GO:0006810;GO:0000280
349	GO:0050877;GO:0051606
356	GO:0006281;GO:0002376
357	GO:0050789;GO:0036211
359	GO:0050789;GO:0006793;GO:0036211
361	GO:0036211;GO:0065008;GO:0006793;GO:0050789;GO:0006811
362	GO:0016043
363	GO:0006996
364	GO:0015031
365	GO:0006520;GO:0006081;GO:0006066;GO:0006082
367	GO:0036211;GO:0009057;GO:0006508
368	GO:0036211
369	GO:0016192;GO:0007032;GO:0015031;GO:0022607
374	GO:0006790;GO:0009117;GO:0006066;GO:0006082
375	GO:0006811
376	GO:0050789;GO:0016043
378	GO:0050789
379	GO:0050789;GO:0048511;GO:0006351;GO:0050896
380	GO:0050789;GO:0065009;GO:0002376
391	GO:0050789
392	GO:0032502
393	GO:0005976;GO:0006112;GO:0009057
396	GO:0009117
398	GO:0050789;GO:0019538;GO:0016043
403	GO:0015031
404	GO:0050789;GO:0036211
405	GO:0051234;GO:0051640
407	GO:0007049;GO:0050789;GO:0065009;GO:0000280;GO:0050896
408	GO:0022607
409	GO:0016192;GO:0051641
410	GO:0006629;GO:0006082
411	GO:0042044
412	GO:0006811
413	GO:0006508;GO:0051604
415	GO:0006629;GO:0006066
416	GO:0050789;GO:0065009;GO:0006811
419	GO:0050789;GO:0065009;GO:0043603;GO:0006508
421	GO:0006793;GO:0006629
423	GO:0007033;GO:0006914;GO:0022607
426	GO:0050789;GO:0032502
427	GO:0050789;GO:0032502;GO:0032501
428	GO:0050789;GO:0032502
429	GO:0032502;GO:0016043
430	GO:0050789;GO:0016192;GO:0051606
431	GO:0050789;GO:0051641
433	GO:0050789
435	GO:0022414;GO:0006260;GO:0050789;GO:0007049;GO:0006281;GO:0000280
