func_module_number	lst
2	GO:0015671;GO:0015670;GO:0015669;GO:0019755
4	GO:0007565
5	GO:0003002
10	GO:0045109;GO:0045104
13	GO:0019373;GO:0019369;GO:0033559
20	GO:0006959
22	GO:0002181;GO:0006412;GO:0042254;GO:0022613
27	GO:0045321;GO:0046649;GO:0042110;GO:0050851;GO:0002250;GO:0050778;GO:0050776;GO:0002768;GO:0002429;GO:0050852;GO:0030098;GO:0002764;GO:0046631;GO:0002252;GO:0002757;GO:1903131;GO:0030217;GO:0002253;GO:0002521
28	GO:0045321;GO:0046649;GO:0002252;GO:0050776;GO:0050853;GO:0051249;GO:0002449;GO:0002697
29	GO:0006334;GO:0034728;GO:0065004;GO:0071824;GO:0002227
30	GO:0060602;GO:0003401;GO:0060594;GO:0060592;GO:0060595;GO:0001823;GO:0030324;GO:0032808;GO:0030323;GO:0048754
32	GO:0030198;GO:0043062;GO:0045229;GO:0030199;GO:0072359;GO:0048646;GO:0001944;GO:0009887
33	GO:0006954;GO:0050776;GO:0050778;GO:0045087;GO:0009617;GO:0045321;GO:0070663;GO:0050865;GO:0002253;GO:0002764;GO:0031347;GO:0070661;GO:0002768;GO:0032103;GO:0030595;GO:0002237;GO:0002757;GO:0071345;GO:0050670;GO:0032944;GO:0051249;GO:0001817;GO:0071216;GO:0001816;GO:0002521;GO:0002429;GO:0045730;GO:0050867;GO:0071219;GO:0070665;GO:0034097;GO:1901652;GO:0002694;GO:0050900;GO:0036336;GO:0046651;GO:0046649;GO:0032943;GO:0042330;GO:0006935
35	GO:0051607;GO:0009615;GO:0045087;GO:1901652;GO:0034097;GO:0002831;GO:0048525;GO:0050792;GO:0031347;GO:1903900;GO:0045071;GO:0045088;GO:0045069;GO:0019058;GO:0016032;GO:0019079;GO:0050776;GO:0140374;GO:0032103;GO:0031349;GO:0002218
36	GO:0006119;GO:0009060;GO:0045333;GO:0015980;GO:0042775;GO:0042773;GO:0019646;GO:0022904;GO:0022900;GO:0006091;GO:0015986;GO:0042776;GO:0006754
37	GO:0001568;GO:0001944;GO:0072359;GO:0048646
38	GO:0008544;GO:0043588;GO:0045216;GO:0034330;GO:0007043
39	GO:0006954;GO:0050778;GO:0050776;GO:0045321;GO:0042330;GO:0006935;GO:0060326;GO:0030595;GO:0050900;GO:0002252;GO:0097529;GO:0007186;GO:0002253;GO:0045087;GO:0031347
42	GO:0010273;GO:1990169;GO:0071294;GO:0071280;GO:0097501;GO:0061687;GO:0046688
44	GO:0048812;GO:0031175;GO:0120039
48	GO:0006986
49	GO:0002181;GO:0006412;GO:0042254;GO:0022613;GO:0042274
67	GO:0007005;GO:0009060;GO:0045333;GO:0015986;GO:0140053;GO:0019646
68	GO:0032543
69	GO:0033108;GO:0010257;GO:0032981;GO:0097250;GO:0015986;GO:0045333;GO:0007005;GO:0006754
71	GO:0006413;GO:0022613
72	GO:0006412
78	GO:0072528;GO:0009165;GO:0046112;GO:0006221;GO:0006260;GO:0009156;GO:0009112;GO:1901293;GO:0009124
79	GO:0022613;GO:0022618;GO:0000387;GO:0071826;GO:0042254
94	GO:0008063;GO:0038172
95	GO:0036297;GO:0006281;GO:0006302
100	GO:0032543;GO:0140053;GO:0006412
104	GO:0072359;GO:0001568;GO:0048646;GO:0001944;GO:0048514;GO:0035239;GO:0035295;GO:0001525;GO:0045765;GO:1901342;GO:0000165;GO:0045766
107	GO:0000278;GO:1903047;GO:0007059;GO:0051276;GO:0006260;GO:0006974;GO:0000819;GO:0000280;GO:0006261;GO:0048285;GO:0000070;GO:0098813;GO:0010564;GO:0140014;GO:0090068;GO:0006281;GO:0044770;GO:0090329;GO:0006275;GO:1901987;GO:0045787
108	GO:1903047;GO:0000278;GO:0007059;GO:0010564;GO:0051276;GO:0140014;GO:0048285;GO:0000280;GO:0098813;GO:0000070;GO:0000819;GO:0044772;GO:0006260;GO:1901990;GO:0044770;GO:0007346;GO:0007093;GO:1901987;GO:0000075;GO:0006261;GO:1901991;GO:1905818;GO:0010948;GO:1901988;GO:0051304;GO:0045930;GO:0051983;GO:0045786
110	GO:0050776;GO:0050778;GO:0002764;GO:0019882;GO:0002250;GO:1901652;GO:0034097;GO:0002757;GO:0002456;GO:0002443;GO:0002253;GO:0071345;GO:0002819;GO:0002252;GO:0002449;GO:0048002;GO:0001906;GO:0045087;GO:0001817;GO:0002697;GO:0001816;GO:0002703;GO:0046649;GO:0019221;GO:0001913;GO:0001909;GO:0019883;GO:0045321;GO:0001910;GO:0031347;GO:0002833;GO:0002460;GO:0031341
111	GO:0034097;GO:1901652;GO:0051241
115	GO:0042110
118	GO:0032535
127	GO:0006399;GO:0022613
128	GO:0022613;GO:0042254
129	GO:0000278;GO:1903047;GO:0051276;GO:0000280;GO:0007059;GO:0098813;GO:0048285;GO:0140014;GO:0010564;GO:0000070;GO:0000819;GO:1901987;GO:0044770;GO:0051310;GO:0010948;GO:0051303;GO:0000075;GO:1901988;GO:0050000;GO:0006260;GO:0007346;GO:0045786
130	GO:0000278;GO:1903047;GO:0010564;GO:0044770;GO:0007059;GO:0000819;GO:0051276;GO:0044772;GO:0000070;GO:0000280;GO:0140014;GO:0048285;GO:0098813;GO:1901987;GO:0051983;GO:0010948;GO:0000075;GO:1905820;GO:0045786;GO:1901990;GO:1901988;GO:1901970;GO:1905818;GO:0051304;GO:0007346;GO:0007091;GO:0044784;GO:0090068
