go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.013929   1,602 annotations READ: go_slim_results_R1_cpdb_0.8.txt 
287 IDs in all associations
func_module_number	
191	GO:0050789;GO:0007059;GO:0006281;GO:0032502;GO:0051276
192	GO:0050896;GO:0008152
193	GO:0050896;GO:0050789
194	GO:0050789
195	GO:0006793;GO:0051604;GO:0006629
196	GO:0050789
197	GO:0051641;GO:0009057;GO:0050789;GO:0048284;GO:0022411;GO:0007033;GO:0044419;GO:0007032;GO:0061024;GO:0006508;GO:0016192;GO:0022607;GO:0016032
198	GO:0006412;GO:0050789
200	GO:0009057;GO:0050789;GO:0022414;GO:0006508;GO:0036211;GO:0007049
201	GO:0006091;GO:0005975;GO:0009117;GO:0006082
202	GO:0043062;GO:0045229
203	GO:0043062;GO:0045229;GO:0022411;GO:0008152
204	GO:0050789;GO:0016043;GO:0032502
206	GO:0001775;GO:0050789;GO:0002376;GO:0008283
207	GO:0006396;GO:0016070
208	GO:0009059;GO:0051276;GO:0050789;GO:0006259
209	GO:0000375;GO:0016070
211	GO:0042254
212	GO:0065008;GO:0006810;GO:0007005;GO:0061024
213	GO:0050896;GO:0006914;GO:0007033;GO:0022607
215	GO:0036211
220	GO:0036211
224	GO:0036211
225	GO:0050789;GO:0006936
226	GO:0051641;GO:0006810;GO:0016050;GO:0061024
227	GO:0022607;GO:0006810;GO:0006996
228	GO:0006112;GO:0005976
229	GO:0006996;GO:0032502
230	GO:0051641;GO:0006810
231	GO:0051276
232	GO:0006351
233	GO:0009057;GO:0006520;GO:0006082;GO:0006508
234	GO:0050896;GO:0006629;GO:0006805;GO:0006082
235	GO:0022900;GO:0045333;GO:0065003;GO:0007005
237	GO:0006508
239	GO:0050789
241	GO:0036211;GO:0050789
242	GO:0050789
243	GO:0009057;GO:0022607;GO:0015031;GO:0007032;GO:0061024;GO:0006508;GO:0016192;GO:0016032
244	GO:0009117
246	GO:0065003;GO:0006412;GO:0050789;GO:0044085
248	GO:0022607;GO:0006996;GO:0031023
249	GO:0006996
250	GO:0043062;GO:0045229
251	GO:0065009;GO:0050896;GO:0044419;GO:0050789
252	GO:0016192;GO:0051641
253	GO:0009117
254	GO:0006396;GO:0043412;GO:0016070
256	GO:0050896;GO:0050789
257	GO:0051641;GO:0051640;GO:0032501;GO:0006996;GO:0022607;GO:0022406;GO:0016192
258	GO:0065003;GO:0051276;GO:0007059
259	GO:0065003;GO:0007005;GO:0050789
261	GO:0006996;GO:0031023
263	GO:0050896;GO:0050789
264	GO:0050789
265	GO:0016192;GO:0050789
266	GO:0046903;GO:0015031;GO:0048753;GO:0022607
268	GO:0008150
270	GO:0022607;GO:0032989;GO:0006996;GO:0032502
271	GO:0050789
273	GO:0032501;GO:0050789;GO:0006811
274	GO:0051641;GO:0006396;GO:0050789;GO:0065003;GO:0051234;GO:0016070;GO:0044085
275	GO:0050789
277	GO:0006396;GO:0016070;GO:0006259;GO:0009059;GO:0051276;GO:0043412
278	GO:0022607
279	GO:0036211
281	GO:0005975
284	GO:0019538;GO:0050789;GO:0016043
285	GO:0000375;GO:0016070
286	GO:0051641;GO:0050789;GO:0015931;GO:0000375;GO:0016070;GO:0009057
287	GO:0006412;GO:0006396;GO:0042254;GO:0016070
288	GO:0051641;GO:0051640;GO:0006810;GO:0006996
289	GO:0051179;GO:0051604;GO:0006997
290	GO:0036211
291	GO:0000375;GO:0016070
292	GO:0006396;GO:0050789;GO:0016070
293	GO:0006629;GO:0006082
294	GO:0006793;GO:0006790;GO:0006139;GO:0006082;GO:0006629;GO:0043603
296	GO:0006351
297	GO:0022900;GO:0006119;GO:0009117
298	GO:0006412
299	GO:0050879;GO:0006936;GO:0006996;GO:0050877;GO:0032989;GO:0032502;GO:0022607
300	GO:0007154;GO:0050789;GO:0016043;GO:0050877
301	GO:0006996
302	GO:0050896;GO:0050789;GO:0002376;GO:0040011
303	GO:0006396;GO:0042254;GO:0016070
304	GO:0009059
305	GO:0050789;GO:0006996;GO:0022607;GO:0065008;GO:0016070;GO:0009057
306	GO:0051641;GO:0006810
307	GO:0022607;GO:0050789;GO:0006996;GO:0031023
310	GO:0006119;GO:0009117
311	GO:0050789
312	GO:0050789;GO:0009057;GO:0006396;GO:0016070
313	GO:0050896;GO:0008015;GO:0006811;GO:0050877
314	GO:0022607;GO:0006996
315	GO:0042254
317	GO:0050789;GO:0001816;GO:0002376
318	GO:0036211
319	GO:0006066;GO:0006629;GO:0043603
320	GO:0009057
321	GO:0006082
322	GO:0006629;GO:0006082
323	GO:0009059
325	GO:0050896;GO:0006082;GO:0019748;GO:0006805;GO:0006629
328	GO:0008150
331	GO:0051641;GO:0006810;GO:0006996;GO:0022607
332	GO:0009057;GO:0006508
333	GO:0050789
334	GO:0016192;GO:0016050;GO:0061024;GO:0048284
335	GO:0016192;GO:0015031;GO:0007032
336	GO:0007031;GO:0048285
337	GO:0006520;GO:0016070
339	GO:0006836
340	GO:0022900;GO:0051604;GO:0006508
341	GO:0006396;GO:0016070
342	GO:0009059;GO:0019538
343	GO:0006996
345	GO:0050877
346	GO:0009059;GO:0019538
348	GO:0043062;GO:0045229
349	GO:0006793;GO:0006139;GO:0043603;GO:0006790
350	GO:0032502
351	GO:0065008;GO:0050789;GO:0006811
353	GO:0006936
354	GO:0016050;GO:0061024
358	GO:0050896;GO:0050789
359	GO:0001906;GO:0050789
360	GO:0050896;GO:0050789
361	GO:0006811
363	GO:0065008;GO:0050896;GO:0050789
365	GO:0007154;GO:0050789
366	GO:0019538
