func_module_number	go_slim_pir
4	GO:0032502;GO:0032501
5	GO:0044419;GO:0006793;GO:0036211;GO:0050789;GO:0002376;GO:0050896;GO:0001775;GO:0008283;GO:0032502
9	GO:0009057;GO:0006508;GO:0036211;GO:0050789;GO:0022607
12	GO:0065003;GO:0051641;GO:0050789
13	GO:0050789
18	GO:0006520;GO:0006793;GO:0006082
22	GO:0050789
23	GO:0050789
24	GO:0036211;GO:0050789;GO:0009057;GO:0006508
25	GO:0051604;GO:0006457;GO:0050789;GO:0022607;GO:0031647;GO:0050896
27	GO:0006629;GO:0006793;GO:0050789
28	GO:0006281;GO:0007049;GO:0000280;GO:0022414
32	GO:0065003;GO:0051276;GO:0000280;GO:0050789
37	GO:0065003;GO:0007005
38	GO:0050789;GO:0009117
43	GO:0065008;GO:0032502;GO:0032501
44	GO:1902600
45	GO:0050789
49	GO:0016043;GO:0050789
56	GO:0044419;GO:0001816;GO:0050789;GO:0002376;GO:0050896
57	GO:0050896;GO:0050789
58	GO:0050789
63	GO:0006996
67	GO:0050896;GO:0050789
69	GO:0006119;GO:0022900
72	GO:0048511;GO:0050896;GO:0050789
74	GO:0006811;GO:0032501
79	GO:0001816;GO:0002376;GO:0050896;GO:0050789
80	GO:0050896;GO:0050789
86	GO:0050789;GO:0008283
88	GO:0050789;GO:0032502;GO:0050896;GO:0032501
90	GO:0006281;GO:0032392;GO:0050789;GO:0006260
91	GO:0022607;GO:0007155;GO:0050789
99	GO:0044419;GO:0001816;GO:0050789;GO:0002376;GO:0050896;GO:0065009
101	GO:0009057;GO:0006508
105	GO:0051641;GO:0006810;GO:0051640;GO:0006996;GO:0022411
107	GO:0050789;GO:0032501
108	GO:0050789;GO:0032502;GO:0032501
114	GO:0032502;GO:0050789;GO:0032501
116	GO:0032502;GO:0050789
118	GO:0032502
119	GO:0050789
121	GO:0036211
122	GO:0006281;GO:0051276;GO:0050789;GO:0006260
123	GO:0016043;GO:0006281;GO:0050789
124	GO:0006793;GO:0036211;GO:0050789;GO:0032501;GO:0050896;GO:0008283;GO:0032502
125	GO:0006793;GO:0006082;GO:0006139;GO:0006790;GO:0043603;GO:0045333
126	GO:0009059;GO:0006266;GO:0002376;GO:0006281;GO:0032502
127	GO:0050789;GO:0006351;GO:0050896;GO:0008283;GO:0032502
128	GO:0002376;GO:0050896;GO:0001775
130	GO:0006351
142	GO:0009059;GO:0050789;GO:0002376;GO:0050896;GO:0001775;GO:0008283;GO:0065009
154	GO:0007155;GO:0050789
155	GO:0002376;GO:0001816;GO:0065009;GO:0050789
162	GO:0050789;GO:0032502;GO:0032501
163	GO:0016043
164	GO:0036211;GO:0006793;GO:0050789;GO:0050896
165	GO:0016043;GO:0032502;GO:0050789
166	GO:0009057;GO:0006508
169	GO:0051641;GO:0061024;GO:0051234
172	GO:0065009;GO:0050789
173	GO:0032502;GO:0050896;GO:0050789
174	GO:0006793;GO:0006082;GO:0006139;GO:0050789;GO:0006790;GO:0043603
181	GO:0006281;GO:0009059;GO:0006260
183	GO:0032502
184	GO:0050896;GO:0050789
190	GO:0016043
214	GO:0007059;GO:0051276;GO:0065003
216	GO:0006520;GO:0006082
229	GO:0006811
244	GO:0016070;GO:0006396
248	GO:0006281;GO:0006304;GO:0009117
249	GO:0036211;GO:0006629;GO:0006793;GO:0050789
264	GO:0036211
272	GO:0016043;GO:0050789
273	GO:0036211
274	GO:0050789
284	GO:0051703;GO:0032501
292	GO:0008152;GO:0050896
296	GO:0050789
313	GO:0051179;GO:0050789
320	GO:0009308
333	GO:0050789
334	GO:0051179;GO:0050896;GO:0050789
344	GO:0036211
354	GO:0043603;GO:0051604;GO:0042445;GO:0006508
366	GO:0006351
371	GO:0050789
377	GO:0050896;GO:0050789
387	GO:0001816;GO:0050896;GO:0050789
395	GO:0016043;GO:0050789
400	GO:0022414;GO:0050789;GO:0051276;GO:0051640;GO:0051234
402	GO:0036211
406	GO:0016043;GO:0006281;GO:0050789
412	GO:0045229;GO:0043062
433	GO:0050896;GO:0050789
435	GO:0050896;GO:0050789
438	GO:0050789
493	GO:0032502
525	GO:0016043;GO:0032502;GO:0050789
589	GO:0051234;GO:0051640;GO:0050789;GO:0006996
635	GO:0032502
636	GO:0006259
638	GO:0016043
669	GO:0051641;GO:0016192
701	GO:0050789
